DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.00364+(-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.00364+(-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.11012107133865356)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.039340250194072723)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.035411126911640167)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.034845348447561264)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.03869619220495224)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.04251997172832489)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.060749255120754242)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.079751700162887573)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.25806030631065369)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.044048428535461426)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.00364+((-(3.7044e-06*(log(x+19)*(log(x+18)*(3-(-(126.403*log(x+18))))))))-0.01573609933257103)" 
