DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.10215+(-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.10215+(-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.088208064436912537)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.033400412648916245)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.030335599556565285)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.031520254909992218)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.036310378462076187)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.037051796913146973)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.059777922928333282)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.096294745802879333)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.15062814950942993)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.035283226519823074)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.013360165059566498)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.012134240008890629)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.012608102522790432)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.01452415157109499)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.014820719137787819)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.023911168798804283)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.038517899811267853)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.10215+((-(0.00450574*(log(x+19)*(log(x+18)*(3-(0.335286*log(x+18)))))))-0.060251262038946152)" 
