DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))" 
0, comb, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))" 
0, comb, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.096868723630905151)" 
0, comb, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.043765656650066376)" 
0, comb, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.039671637117862701)" 
0, comb, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.035732902586460114)" 
0, comb, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.039776880294084549)" 
0, comb, down, 1, -2.5, 2.5, 140, 200, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.043838214129209518)" 
0, comb, down, 1, -2.5, 2.5, 200, 300, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.06398262083530426)" 
0, comb, down, 1, -2.5, 2.5, 300, 600, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.10121767222881317)" 
0, comb, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.1800583153963089)" 
0, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.038747489452362061)" 
0, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.01750626228749752)" 
0, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.015868654474616051)" 
0, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.01429316122084856)" 
0, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.01591075211763382)" 
0, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.017535286024212837)" 
0, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.025593049824237823)" 
0, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.040487069636583328)" 
0, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "1.10303+((-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18)))))))-0.07202332466840744)" 
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.096868723630905151" 
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.043765656650066376" 
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.039671637117862701" 
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.035732902586460114" 
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.039776880294084549" 
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.043838214129209518" 
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.06398262083530426" 
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.10121767222881317" 
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.1800583153963089" 
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.038747489452362061" 
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.01750626228749752" 
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.015868654474616051" 
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.01429316122084856" 
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.01591075211763382" 
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.017535286024212837" 
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.025593049824237823" 
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.040487069636583328" 
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.10303+(-(0.00478444*(log(x+19)*(log(x+18)*(3-(0.330833*log(x+18))))))))+0.07202332466840744" 
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.24365+(-(0.0103973*(log(x+19)*(log(x+18)*(3-(0.352579*log(x+18)))))))" 
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.24365+(-(0.0103973*(log(x+19)*(log(x+18)*(3-(0.352579*log(x+18)))))))" 
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "1.24365+((-(0.0103973*(log(x+19)*(log(x+18)*(3-(0.352579*log(x+18)))))))-0.10290670394897461)" 
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "1.24365+((-(0.0103973*(log(x+19)*(log(x+18)*(3-(0.352579*log(x+18)))))))-0.050590205937623978)" 
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "1.24365+((-(0.0103973*(log(x+19)*(log(x+18)*(3-(0.352579*log(x+18)))))))-0.044497966766357422)" 
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "1.24365+((-(0.0103973*(log(x+19)*(log(x+18)*(3-(0.352579*log(x+18)))))))-0.052260570228099823)" 
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "1.24365+((-(0.0103973*(log(x+19)*(log(x+18)*(3-(0.352579*log(x+18)))))))-0.073933936655521393)" 
