# QCD R-factor computed by PurityFit
tauinvisospline_1p spline 50.0000 0.498153 0
tauinvisospline_1p spline 62.4509 0.498153 0
tauinvisospline_1p spline 67.4304 0.480763 0
tauinvisospline_1p spline 74.6776 0.478198 0
tauinvisospline_1p spline 84.6697 0.486831 0
tauinvisospline_1p spline 94.7122 0.494816 0
tauinvisospline_1p spline 111.035 0.456569 0
tauinvisospline_1p spline 136.155 0.400763 0
tauinvisospline_1p spline 161.429 0.372308 0
tauinvisospline_1p spline 186.231 0.356116 0
tauinvisospline_1p spline 221.043 0.337433 0
tauinvisospline_1p spline 307.357 0.338925 0
tauinvisospline_1p spline 561.306 0.332632 0
tauinvisospline_1p spline 811.343 0.27918 0
tauinvisospline_1p spline 8000.00 0.27918 0

##### 3 PRONG #####
tauinvisospline_3p spline 50.000 0.103556 0
tauinvisospline_3p spline 62.523 0.103556 0
tauinvisospline_3p spline 67.4743 0.112387 0
tauinvisospline_3p spline 74.6716 0.115724 0
tauinvisospline_3p spline 84.5556 0.108634 0
tauinvisospline_3p spline 94.5624 0.0993061 0
tauinvisospline_3p spline 110.458 0.0815259 0
tauinvisospline_3p spline 135.65 0.0623001 0
tauinvisospline_3p spline 160.657 0.0557117 0
tauinvisospline_3p spline 185.569 0.0436427 0
tauinvisospline_3p spline 221.223 0.0354827 0
tauinvisospline_3p spline 313.557 0.0265841 0
tauinvisospline_3p spline 8000.00 0.0265841 0
