mc run lumi evt
333 1 604 199814
333 1 607 200533
333 1 619 204499
333 1 679 224436
333 1 631 208732
333 1 680 224885
333 1 685 226511
333 1 685 226540
333 1 709 234361
333 1 709 234399
333 1 3031 1002809
333 1 793 262401
333 1 794 262474
333 1 759 251041
333 1 758 250692
333 1 758 250779
333 1 761 251709
333 1 762 251902
333 1 777 256920
333 1 801 265001
333 1 1071 354373
333 1 1072 354585
333 1 1801 595558
333 1 1801 595713
333 1 1801 595726
333 1 1802 596042
333 1 1802 596132
333 1 1811 598952
333 1 1969 651215
333 1 2879 952329
333 1 3044 1007117
333 1 2897 958332
333 1 2898 958579
333 1 3120 1032133
333 1 3122 1032847
333 1 3122 1032863
333 1 3126 1034207
333 1 3127 1034311
333 1 3128 1034833
333 1 3129 1034979
333 1 3140 1038762
333 1 3203 1059520
333 1 3203 1059527
333 1 3201 1058850
333 1 3202 1059403
333 1 3235 1070099
333 1 3228 1067933
333 1 3303 1092739
333 1 15929 5269989
333 1 885 292518
333 1 885 292693
333 1 886 292835
333 1 886 293083
333 1 1360 449942
333 1 1380 456508
333 1 9171 3034088
333 1 2986 987838
333 1 49771 16466650
333 1 4584 1516456
333 1 4584 1516613
333 1 29107 9630074
333 1 6290 2080888
333 1 6305 2086010
333 1 6306 2086149
333 1 6298 2083659
333 1 6400 2117328
333 1 6340 2097317
333 1 6703 2217644
333 1 6704 2217792
333 1 16961 5611276
333 1 6855 2268031
333 1 6856 2268261
333 1 6856 2268351
333 1 6970 2305938
333 1 7471 2471742
333 1 7495 2479737
333 1 7478 2473809
333 1 20974 6939250
333 1 9011 2981272
333 1 9017 2983229
333 1 9018 2983607
333 1 9053 2995015
333 1 20565 6803902
333 1 9231 3054078
333 1 9932 3285972
333 1 10118 3347362
333 1 10118 3347513
333 1 34117 11287515
333 1 34117 11287585
333 1 10120 3348138
333 1 53512 17704595
333 1 10744 3554594
333 1 13367 4422496
333 1 34603 11448409
333 1 34603 11448511
333 1 15462 5115604
333 1 15953 5277877
333 1 15953 5277921
333 1 15953 5278012
333 1 10865 3594512
333 1 10866 3594983
333 1 12094 4001225
333 1 15971 5283942
333 1 15971 5283952
333 1 19052 6303337
333 1 19105 6320667
333 1 40463 13386994
333 1 26767 8855745
333 1 26767 8855928
333 1 26768 8856048
333 1 27646 9146719
333 1 32295 10684568
333 1 32295 10684672
333 1 32295 10684750
333 1 32295 10684765
333 1 32295 10684832
333 1 32295 10684863
333 1 31402 10389342
333 1 37588 12435757
333 1 37588 12435946
333 1 37588 12436051
333 1 34509 11417302
333 1 37226 12315991
333 1 37226 12316183
333 1 37226 12316271
333 1 38981 12896982
333 1 39446 13050489
333 1 39446 13050779
333 1 39451 13052189
333 1 39858 13186803
333 1 42230 13971575
333 1 42230 13971796
333 1 42840 14173484
333 1 42939 14206171
333 1 42955 14211451
333 1 55135 18241211
333 1 55175 18254794
333 1 55176 18255110
333 1 47851 15831424
333 1 47851 15831596
333 1 47852 15831773
333 1 47852 15831885
333 1 47889 15843979
333 1 47889 15843996
333 1 47890 15844261
333 1 53968 17855399
333 1 54063 17886541
333 1 54064 17887146
333 1 54329 17974566
333 1 55202 18263435
333 1 55202 18263521
333 1 55202 18263551
333 1 27471 9088650
333 1 27485 9093288
333 1 27486 9093538
333 1 27486 9093621
333 1 27759 9184087
333 1 27761 9184589
333 1 27761 9184658
333 1 27767 9186527
333 1 27776 9189712
333 1 32532 10763036
333 1 32532 10763165
333 1 32535 10764073
333 1 32537 10764803
333 1 32546 10767811
333 1 37519 12413017
333 1 37520 12413446
333 1 37520 12413515
333 1 37520 12413609
333 1 42154 13946483
333 1 42154 13946683
333 1 50651 16757715
333 1 50651 16757876
333 1 55870 18484552
333 1 63293 20940404
333 1 63293 20940507
333 1 64858 21458154
333 1 67935 22476106
333 1 67935 22476260
333 1 67936 22476445
333 1 67936 22476718
333 1 87497 28948491
333 1 101987 33742311
333 1 101997 33745791
333 1 101998 33746201
333 1 101998 33746258
333 1 108926 36038220
333 1 108951 36046358
333 1 108951 36046516
333 1 109957 36379364
333 1 109958 36379623
333 1 111308 36826270
333 1 115861 38332679
333 1 115861 38332858
333 1 115862 38333152
333 1 116797 38642421
333 1 1401 489485
333 1 3201 1118710
333 1 4408 1540495
333 1 4408 1540556
333 1 4461 1559251
333 1 7306 2553790
333 1 7621 2663717
333 1 2656 928162
333 1 6996 2445325
333 1 628 219341
333 1 1936 676551
333 1 3431 1199273
333 1 3490 1219916
333 1 5379 1879987
333 1 5776 2018785
333 1 6638 2320131
333 1 104 36315
333 1 1645 574870
333 1 3185 1113049
333 1 3912 1367136
333 1 4912 1716770
333 1 4912 1716851
333 1 5501 1922761
333 1 5502 1922916
333 1 6640 2320844
333 1 2408 841442
333 1 3071 1073412
333 1 7714 2696106
333 1 7714 2696394
333 1 6194 2164895
333 1 6910 2415095
333 1 7077 2473742
333 1 7047 2463177
333 1 8431 2947063
333 1 4197 1466744
333 1 4201 1468470
333 1 6133 2143514
333 1 6041 2111313
333 1 1099 383902
333 1 1347 470596
333 1 2463 860799
333 1 5987 2092595
333 1 3917 1368941
333 1 5920 2069186
333 1 6177 2159010
333 1 7471 2611242
333 1 7942 2775848
333 1 8254 2884986
333 1 326 113641
333 1 1174 410261
333 1 3252 1136682
333 1 3343 1168398
333 1 8125 2840031
333 1 487 170017
333 1 488 170489
333 1 5580 1950444
333 1 6538 2285249
333 1 2603 909767
333 1 4093 1430391
333 1 4094 1430796
333 1 3554 1242049
333 1 518 181020
333 1 4449 1554828
333 1 6392 2234105
333 1 7646 2454588
333 1 50835 16318043
333 1 62269 19988340
333 1 92275 29620384
333 1 90317 28991889
333 1 137224 44048880
333 1 153896 49400822
333 1 7634 2450496
333 1 7644 2453675
333 1 12661 4064165
333 1 12683 4071185
333 1 15099 4846853
333 1 18412 5910296
333 1 29909 9600861
333 1 30001 9630120
333 1 77699 24941414
333 1 615 197323
333 1 7818 2509683
333 1 11098 3562601
333 1 42918 13776822
333 1 28981 9302740
333 1 21619 6939895
333 1 33339 10701674
333 1 33339 10701804
333 1 30643 9836453
333 1 30664 9842923
333 1 31817 10213390
333 1 33066 10614156
333 1 44504 14285786
333 1 47291 15180223
333 1 50853 16323724
333 1 54467 17483924
333 1 7623 2446916
333 1 34816 11175888
333 1 47286 15178809
333 1 103823 33327180
333 1 119213 38267414
333 1 141555 45439073
333 1 143552 46079888
333 1 145377 46666305
333 1 9832 3156002
333 1 9832 3156257
333 1 20534 6591524
333 1 93903 30142709
333 1 27808 8926671
333 1 32793 10526341
333 1 70082 22496178
333 1 35478 11388378
333 1 53945 17316225
333 1 55467 17805039
333 1 55615 17852370
333 1 55615 17852396
333 1 55379 17776660
333 1 57309 18396065
333 1 59189 18999704
333 1 59233 19013781
333 1 59554 19116824
333 1 70079 22495515
333 1 71454 22936787
333 1 87969 28237983
333 1 109282 35079664
333 1 107868 34625778
333 1 126112 40481998
333 1 6970 2237156
333 1 92043 29545606
333 1 11199 3594895
333 1 53798 17268979
333 1 21297 6836421
333 1 23440 7524103
333 1 23440 7524253
333 1 84921 27259579
333 1 85273 27372510
333 1 85273 27372563
333 1 92948 29836223
333 1 108038 34680055
333 1 98015 31462596
333 1 94009 30176807
333 1 96932 31114902
333 1 151240 48548077
333 1 121855 39115621
333 1 113601 36465955
333 1 130958 42037299
333 1 131432 42189657
333 1 11419 3665511
333 1 14555 4672041
