mc run lumi evt
125 1 155 21659
13 1 1397 193263
125 1 18735 2613507
12 1 3529 423544
11 1 8236 1136628
105 1 188701 29625962
110 1 358498 147342640
13 1 10685 1478124
14 1 1 153
125 1 18921 2639412
110 1 311928 128202152
105 1 89083 14164111
13 1 8720 1206206
125 1 22349 3117637
12 1 4915 589751
102 1 1117331 159405888
106 1 112538 19103208
102 1 440303 62816664
125 1 19713 2749878
12 1 3115 373716
121 1 1746 346903
108 1 287344 112495048
110 1 332046 136470720
125 1 16321 2276744
13 1 7991 1105352
110 1 236749 97303664
110 1 421204 173114448
12 1 6661 799357
12 1 10645 1277309
12 1 193 23179
110 1 437477 179802912
11 1 9362 1292064
107 1 297628 47223652
102 1 980051 139820656
12 1 2571 308484
102 1 334189 47677664
125 1 11503 1604594
13 1 3161 437370
110 1 447208 183802240
13 1 5974 826393
12 1 7819 938326
102 1 184903 26379408
14 1 7885 1131384
14 1 3493 501224
102 1 985264 140564208
11 1 3799 524146
13 1 1370 189603
11 1 17 2421
12 1 2265 271736
14 1 7568 1085996
110 1 381091 156628096
11 1 2792 385278
111 1 31400 4877426
102 1 147709 21073196
101 1 182005 34580932
102 1 1094585 156160720
11 1 2792 385304
11 1 7100 979792
14 1 2032 291541
12 1 5033 603855
121 1 7416 1401459
110 1 152891 62838140
106 1 139934 23753812
106 1 96955 16902424
12 1 696 83504
13 1 7438 1028850
102 1 186250 26571636
13 1 4009 554547
110 1 99115 40735944
125 1 28007 3906881
125 1 3778 526963
11 1 10616 1465013
12 1 603 72410
106 1 60125 10481743
12 1 3063 367553
111 1 246788 47424392
13 1 3710 513304
12 1 2815 337838
127 1 1249 246846
12 1 8471 1016486
11 1 10216 1409831
12 1 4189 502590
11 1 7684 1060308
110 1 230165 94597432
12 1 5753 690344
11 1 247 33994
108 1 82897 32453956
13 1 8659 1197730
12 1 11947 1433615
13 1 7379 1020757
106 1 104082 17667932
107 1 190197 30177868
102 1 210908 30089604
110 1 373305 153428064
110 1 174836 71857536
11 1 9623 1327932
14 1 2876 412704
11 1 4726 652167
11 1 4759 656629
13 1 1890 261439
105 1 3514 558570
12 1 721 86581
110 1 86133 35400520
110 1 72586 29832638
110 1 194931 80116576
12 1 9917 1190058
14 1 6195 888858
125 1 20485 2857560
