mc run lumi evt
1 1 2193 400064
127 1 120 22471
2 1 12929 1.38994e+06
125 1 2295 915090
125 1 44294 1.76983e+07
3 1 7467 795133
125 1 33127 1.32101e+07
1 1 1516 276667
1 1 6782 1.23757e+06
125 1 5813 2.32266e+06
5 1 2481 439012
125 1 16240 6.48886e+06
5 1 2427 429433
1 1 5025 916951
125 1 7579 3.02837e+06
5 1 7951 1.4072e+06
4 1 7894 1.34583e+06
125 1 21652 8.63434e+06
3 1 13635 1.45207e+06
101 1 31211 2.58734e+07
125 1 21310 8.4977e+06
2 1 2949 316968
125 1 15649 6.2402e+06
5 1 7865 1.39206e+06
127 1 3696 696356
3 1 4315 459473
125 1 12220 4.88266e+06
125 1 29287 1.17021e+07
101 1 28238 2.34091e+07
5 1 939 166094
125 1 8521 3.40445e+06
4 1 2634 449012
125 1 35593 1.42219e+07
125 1 36950 1.47346e+07
101 1 126584 1.04938e+08
4 1 8346 1.42298e+06
116 1 7260 1.44977e+06
3 1 4143 441258
125 1 42723 1.70708e+07
125 1 27828 1.11192e+07
125 1 10587 4.23013e+06
125 1 37285 1.48682e+07
125 1 33297 1.3278e+07
2 1 10063 1.08177e+06
102 1 227710 1.87405e+08
3 1 13183 1.40404e+06
125 1 6301 2.51735e+06
125 1 36851 1.47243e+07
3 1 10389 1.10634e+06
2 1 5231 562418
127 1 3623 682722
125 1 13496 5.39238e+06
127 1 4822 908525
125 1 28726 1.14779e+07
5 1 5239 927300
125 1 19064 7.61721e+06
127 1 1712 322490
125 1 17762 7.09683e+06
2 1 6615 711176
101 1 65271 5.41093e+07
127 1 4836 911190
125 1 39830 1.59148e+07
125 1 2131 851151
102 1 167591 1.37927e+08
127 1 3557 670176
5 1 5640 998131
125 1 25471 1.01772e+07
125 1 23144 9.24737e+06
121 1 3591 713519
5 1 4910 869030
5 1 51 8931
1 1 7928 1.44678e+06
127 1 4846 912957
4 1 728 124034
125 1 49108 1.95832e+07
4 1 524 89228
5 1 5380 952180
125 1 49018 1.95861e+07
5 1 1721 304551
101 1 108603 9.00316e+07
125 1 7607 3.03327e+06
125 1 19106 7.61878e+06
3 1 9115 970699
125 1 4339 1.73356e+06
125 1 3499 1.39515e+06
125 1 37313 1.49092e+07
4 1 2083 355121
