mc run lumi evt
110 1 204674 84120928
102 1 642277 91631448
125 1 202 28601
3 1 7233 770279
102 1 1085357 154844208
102 1 990088 141252496
110 1 469901 193129008
5 1 3457 611764
102 1 509897 72745368
5 1 2694 476743
102 1 742689 105956960
5 1 2843 503093
102 1 833197 118869408
2 1 10925 1174419
4 1 2467 420637
4 1 3493 595502
102 1 814444 116193936
5 1 2025 358292
102 1 1079087 153949856
110 1 137963 56702512
103 1 409308 65571224
102 1 891559 127195664
3 1 8757 932641
4 1 5153 878470
1 1 3738 682051
4 1 8147 1389068
110 1 143174 58844116
102 1 1070921 152784752
102 1 966050 137823200
101 1 40924 7775482
2 1 10949 1176942
102 1 226723 32345776
2 1 1129 121420
102 1 323756 46189216
125 1 16629 2319750
125 1 5611 782738
102 1 657803 93846568
5 1 7625 1349535
4 1 2659 453373
110 1 420713 172912912
2 1 11149 1198518
5 1 7381 1306329
101 1 85031 16155876
102 1 787421 112338704
102 1 666041 95021856
5 1 1410 249425
5 1 8354 1478658
5 1 2203 389931
102 1 643564 91815048
102 1 923564 131761824
102 1 282026 40235784
102 1 114190 16291027
102 1 840971 119978512
102 1 145054 20694252
102 1 725624 103522296
102 1 107338 15313454
102 1 741346 105765408
102 1 27203 3880883
103 1 311988 49980452
102 1 384778 54895036
3 1 9762 1039653
103 1 355999 57031112
111 1 59211 11290506
5 1 5870 1038959
102 1 695860 99275920
3 1 9881 1052222
110 1 446680 183585264
4 1 8456 1441735
110 1 442889 182027232
125 1 693 96712
103 1 18472 2959243
5 1 3728 659823
103 1 154342 24725472
5 1 4315 763719
102 1 771542 110073336
110 1 101539 41732488
102 1 187951 26814352
101 1 59807 11363374
3 1 8447 899681
5 1 1720 304392
102 1 1111858 158625104
125 1 2585 360625
102 1 545878 77878536
103 1 119157 19089032
1 1 3347 610815
102 1 64436 9192901
102 1 569488 81246848
110 1 169315 69588352
102 1 969616 138331904
110 1 213481 87740648
101 1 381857 72552736
102 1 8150 1162697
3 1 823 87642
4 1 7560 1288852
102 1 1089478 155432160
102 1 1076303 153552576
102 1 126472 18043272
102 1 968926 138233424
110 1 29814 12253409
103 1 401156 64265064
102 1 617776 88135936
4 1 5371 915605
5 1 1573 278335
4 1 927 157884
102 1 309908 44213524
102 1 375406 53557868
3 1 131 13888
110 1 214537 88174640
2 1 9119 980335
102 1 578131 82479968
102 1 508028 72478624
102 1 676250 96478384
1 1 3574 652148
125 1 17107 2386361
103 1 329414 52772264
103 1 423798 67892512
102 1 553577 78977096
5 1 1261 223049
5 1 5001 885176
103 1 159662 25577786
103 1 251869 40349432
125 1 26566 3705938
5 1 6934 1227259
102 1 1044869 149068032
2 1 13945 1499022
2 1 2062 221660
4 1 6191 1055505
4 1 5173 881941
102 1 680450 97077616
102 1 445565 63567384
110 1 386010 158649712
3 1 4177 444867
102 1 1042816 148775120
2 1 9612 1033282
5 1 5736 1015121
102 1 400432 57128296
5 1 968 171199
102 1 571199 81491104
102 1 1053778 150338992
4 1 5609 956311
102 1 405814 57896100
2 1 4131 444090
102 1 915247 130575176
125 1 14585 2070979
102 1 1092797 155905760
111 1 32442 5731387
103 1 471458 75527544
102 1 426091 60788912
102 1 862657 123072352
102 1 87769 12521623
4 1 2471 421276
125 1 4641 647468
102 1 829048 118277432
102 1 75022 10703000
101 1 72790 13829954
102 1 669262 95481424
102 1 624392 89080016
5 1 4582 810935
5 1 1419 251125
2 1 59 6303
103 1 151774 24314176
102 1 103940 14828720
102 1 858572 122489712
101 1 37138 7056160
5 1 6841 1210869
3 1 13165 1402119
3 1 7141 760500
3 1 3355 357233
102 1 786590 112220184
103 1 422408 67669816
4 1 3263 556337
101 1 171260 32539352
110 1 417608 171636688
5 1 2078 367735
125 1 19101 2664492
102 1 775934 110699936
5 1 3032 536652
110 1 206033 84679504
127 1 374 73886
101 1 383817 72925224
102 1 249769 35633592
125 1 22110 3084305
3 1 181 19331
1 1 6919 1262613
102 1 1064636 151888176
3 1 3489 371669
125 1 23761 3314626
125 1 15167 2115811
1 1 4892 892772
102 1 370912 52916644
5 1 2472 437393
5 1 404 71383
3 1 12512 1332524
102 1 469445 66974156
102 1 212276 30284652
5 1 4211 745302
5 1 4494 795362
102 1 1036502 147874368
103 1 376203 60267648
102 1 191014 27251256
102 1 386968 55207376
102 1 863909 123250936
110 1 401866 165166800
5 1 8277 1464884
102 1 580777 82857544
121 1 1818 343524
102 1 41684 5946962
125 1 25345 3535654
111 1 56269 10729698
102 1 161099 22983380
4 1 1941 330852
5 1 3243 573904
102 1 219398 31300758
102 1 955499 136317904
102 1 1001063 142818352
5 1 1042 184377
102 1 1069022 152513904
121 1 1384 274928
103 1 374358 59972128
102 1 1007023 143668624
102 1 512674 73141392
101 1 53357 10137843
3 1 13741 1463419
125 1 2451 347929
102 1 316259 45119572
4 1 7103 1210952
102 1 866207 123578840
5 1 2025 358315
102 1 995861 142076112
102 1 894328 127590688
103 1 377004 60396188
103 1 363404 58217408
103 1 367817 58924304
125 1 13826 1928718
102 1 198347 28297568
5 1 2415 427305
5 1 4590 812379
5 1 4354 770572
4 1 4054 691119
110 1 8163 3354715
5 1 3990 706219
3 1 3838 408738
1 1 952 173684
103 1 182122 29175908
110 1 218009 89601576
110 1 299 122615
103 1 321087 51438192
4 1 3869 659620
102 1 305482 43582092
103 1 245814 39379364
102 1 760819 108543376
125 1 9175 1279781
5 1 3888 688107
4 1 546 93065
102 1 323087 46093712
111 1 30820 5444696
5 1 3977 703845
101 1 330391 62774156
102 1 565153 80628456
102 1 489086 69776288
102 1 665842 94993360
102 1 856159 122145240
4 1 5119 872804
5 1 8112 1435762
1 1 5275 962619
103 1 415349 66539048
110 1 70349 28913288
3 1 5351 569923
3 1 12111 1289822
5 1 7707 1364054
102 1 945854 134941936
102 1 193007 27535680
4 1 2065 352106
102 1 222995 31814058
3 1 13205 1406291
102 1 110450 15757551
102 1 72377 10325763
103 1 416111 66660972
5 1 2300 406970
101 1 271598 51603484
101 1 208231 39563756
3 1 5811 618917
102 1 519946 74178976
102 1 178022 25397892
1 1 7267 1326214
3 1 12103 1288999
110 1 115361 47413320
123 1 5602 937528
110 1 442587 181903088
3 1 11969 1274598
5 1 2495 441625
102 1 225098 32114020
5 1 8008 1417379
110 1 117485 48286136
1 1 1715 312879
4 1 2631 448500
