mc run lumi evt
1 1 1375 250824
3 1 9027 961429
102 1 65959 9410051
103 1 348168 55776592
110 1 224108 92108216
110 1 91618 37654888
5 1 7507 1328626
125 1 4493 626678
4 1 5430 925810
3 1 1699 180878
5 1 2624 464314
125 1 20008 2791112
125 1 25051 3494579
102 1 1068752 152475232
110 1 326118 134034136
5 1 5370 950376
4 1 150 25482
111 1 35570 6835274
125 1 3641 507809
110 1 435103 178826992
4 1 277 47093
5 1 7414 1312258
110 1 194481 79931328
125 1 16773 2339738
5 1 1113 196885
103 1 186926 29945388
121 1 908 180332
4 1 8528 1454004
110 1 111068 45648708
102 1 1026001 146376032
5 1 7065 1250373
102 1 341630 48739204
110 1 330846 135977504
5 1 804 142210
102 1 479344 68386416
3 1 3628 386375
102 1 67481 9627373
102 1 209933 29950476
110 1 249225 102431448
111 1 24659 4356334
125 1 779 108579
125 1 11128 1552330
110 1 184942 76010920
102 1 381401 54413240
102 1 836911 119399256
125 1 5639 786677
110 1 132950 54642100
102 1 956582 136472432
125 1 24882 3471019
125 1 18421 2569748
110 1 121837 50074648
110 1 426839 175430816
5 1 1767 312680
102 1 920909 131383088
102 1 404471 57704556
5 1 4000 707890
102 1 210787 30072212
103 1 191312 30648144
3 1 7829 833700
110 1 80992 33287396
125 1 10157 1416892
110 1 341683 140431344
125 1 11723 1664654
5 1 2783 492443
5 1 6460 1143337
2 1 11589 1245806
3 1 4513 480672
1 1 7454 1360277
3 1 7653 815101
125 1 24171 3371755
3 1 2313 246296
110 1 130471 53623488
1 1 6791 1239217
125 1 21279 2968314
110 1 392564 161343664
2 1 9359 1006070
111 1 25898 4022731
103 1 76001 12175356
125 1 10105 1409515
125 1 3542 494092
125 1 18129 2528873
5 1 1916 338995
4 1 1732 295202
110 1 434378 178529200
101 1 402961 76562576
110 1 41746 17157588
110 1 79694 32754080
110 1 257239 105725072
2 1 11365 1221681
3 1 12773 1360314
2 1 8937 960800
102 1 1064499 151868512
125 1 7011 977961
125 1 220 30675
5 1 1830 323810
125 1 443 61660
2 1 8803 946275
127 1 38 7432
5 1 654 115742
125 1 12875 1796012
102 1 959435 136879344
110 1 291209 119686496
2 1 7753 833487
102 1 1119721 159746880
125 1 21079 2940558
5 1 5732 1014563
110 1 211441 86902064
110 1 178433 73335744
3 1 13765 1465902
5 1 1647 291438
110 1 351772 144578016
4 1 3600 613767
4 1 4339 739668
102 1 431066 61498764
5 1 5751 1017918
102 1 58423 8334909
102 1 1113880 158913584
127 1 1076 212603
3 1 11938 1271390
110 1 107003 43977864
111 1 4943 767784
102 1 421642 60154248
102 1 880229 125579400
110 1 329265 135327520
3 1 5937 632313
125 1 15247 2126936
3 1 10333 1100513
103 1 450707 72203288
102 1 909487 129753448
5 1 2969 525529
5 1 7241 1281601
3 1 12255 1305106
4 1 25 4252
1 1 891 162467
102 1 220762 31495344
110 1 45920 18873016
110 1 14122 5804104
2 1 6936 745606
110 1 155197 63785680
102 1 918065 130977320
5 1 4881 863788
125 1 20026 2793575
5 1 5033 890703
110 1 44328 18218488
1 1 4746 866006
125 1 10675 1489153
3 1 10967 1167898
4 1 5326 908074
4 1 998 170140
4 1 3053 520525
102 1 485858 69315824
2 1 1126 121033
102 1 542683 77422696
109 1 45118 7681260
102 1 686921 98000744
125 1 4555 635396
127 1 404 79849
125 1 8760 1221986
110 1 179478 73765272
110 1 159817 65684404
110 1 231326 95074808
2 1 8452 908585
110 1 332608 136701680
110 1 319033 131122192
