mc run lumi evt
103 1 61691 9882775
102 1 62609 8932278
3 1 145 15401
103 1 297244 47618496
101 1 417163 79260800
2 1 12111 1301885
4 1 6995 1192622
2 1 5405 581106
103 1 82609 13234024
1 1 6152 1122706
103 1 132013 21148528
102 1 625972 89305312
4 1 1621 276300
102 1 749821 106974504
5 1 5436 962102
5 1 3195 565502
121 1 196 38987
102 1 925712 132068256
1 1 1155 210664
123 1 5382 900566
101 1 176506 33536088
110 1 372411 153060896
103 1 369802 59242200
102 1 827953 118121200
4 1 150 25482
102 1 112033 15983272
102 1 321922 45927448
5 1 3415 604314
102 1 840454 119904648
102 1 834401 119041288
102 1 354158 50526564
103 1 341759 54749936
3 1 7241 771209
5 1 3389 599770
101 1 66980 12726079
102 1 278911 39791240
5 1 5502 973842
102 1 741371 105768864
4 1 5647 962721
101 1 364688 69290552
101 1 383193 72806504
3 1 10439 1111807
1 1 82 14851
4 1 4203 716525
102 1 401395 57265604
3 1 6905 735461
102 1 986018 140671968
102 1 284811 40633032
4 1 2517 428993
102 1 489661 69858344
102 1 777229 110884544
5 1 4206 744414
101 1 213611 40586096
102 1 664942 94864968
102 1 631475 90090368
103 1 310147 49685460
1 1 256 46666
125 1 23209 3295586
102 1 569957 81313888
123 1 3719 622383
2 1 8645 929420
102 1 353192 50388816
102 1 804398 114760752
1 1 3925 716304
102 1 743560 106081248
2 1 5487 589890
1 1 79 14333
103 1 56438 9041357
103 1 203346 32576040
102 1 331255 47259080
5 1 3703 655383
102 1 449657 64151160
102 1 829180 118296224
4 1 1813 309135
102 1 717371 102345016
5 1 3503 619877
2 1 3975 427241
4 1 3419 582941
3 1 10840 1154454
4 1 5195 885582
101 1 132369 25150062
2 1 1771 190442
102 1 445096 63500292
101 1 43006 8171040
110 1 61761 25383688
125 1 17462 2479600
103 1 383214 61390964
102 1 673220 96046080
3 1 4701 500597
103 1 48263 7731833
3 1 10471 1115185
102 1 517868 73882512
5 1 3244 574114
102 1 1032151 147253456
102 1 105620 15068517
102 1 461722 65872292
4 1 4554 776349
5 1 8024 1420097
102 1 1075915 153497072
102 1 183814 26224160
102 1 445190 63513768
4 1 4934 841155
102 1 809129 115435720
102 1 758003 108141696
1 1 4516 824052
5 1 517 91437
101 1 115017 21853098
5 1 1122 198499
102 1 1086955 155072160
102 1 708779 101119072
102 1 872128 124423464
101 1 253284 48123912
121 1 1947 367875
103 1 303837 48674700
4 1 2330 397150
1 1 3044 555430
102 1 598463 85380776
102 1 981071 139966048
123 1 73 12127
102 1 662549 94523720
102 1 506780 72300696
5 1 4134 731632
102 1 607544 86676336
102 1 766271 109321408
101 1 187699 35662768
102 1 968845 138221792
123 1 7234 1210648
101 1 67025 12734726
3 1 5989 637725
103 1 405164 64907328
5 1 7 1173
101 1 99505 18905946
2 1 11237 1208012
103 1 185689 29747456
2 1 8479 911484
4 1 8012 1365929
4 1 4283 730174
102 1 929903 132666272
1 1 883 161155
4 1 7292 1243279
1 1 6595 1203428
4 1 6537 1114524
121 1 8691 1642442
102 1 935840 133513200
102 1 456758 65164096
1 1 2909 530712
102 1 452800 64599348
1 1 5291 965485
2 1 1 43
5 1 4195 742471
3 1 607 64595
4 1 1858 316718
102 1 454468 64837456
102 1 24446 3487664
103 1 378177 60584008
102 1 528958 75464592
102 1 390465 55706332
2 1 9727 1045592
1 1 6823 1245089
4 1 2479 422569
102 1 880429 125607872
102 1 694139 99030608
103 1 220346 35299304
102 1 182693 26064202
121 1 2300 434548
102 1 814376 116184248
102 1 940988 134247568
101 1 191035 36296548
102 1 537221 76643472
102 1 182894 26092840
102 1 662294 94487344
102 1 434805 62032160
110 1 141117 57998708
102 1 631805 90137584
4 1 5230 891578
102 1 633856 90430048
3 1 8835 940835
102 1 670372 95639760
3 1 7387 786756
2 1 5213 560469
5 1 4763 843017
1 1 7886 1439087
102 1 1070132 152672176
