mc run lumi evt
7 1 3110 506971
102 1 240557 3.43195e+07
102 1 61772 8.81276e+06
102 1 840692 1.19939e+08
7 1 4826 786699
7 1 1185 193133
102 1 940165 1.3413e+08
102 1 676108 9.64581e+07
101 1 317805 6.03829e+07
101 1 169211 3.215e+07
102 1 846877 1.20821e+08
101 1 150923 2.86754e+07
102 1 526182 7.50686e+07
9 1 5511 898248
9 1 6410 1.04472e+06
102 1 783218 1.11739e+08
102 1 221995 3.16713e+07
7 1 5519 899532
102 1 43148 6.15585e+06
101 1 327525 6.22296e+07
102 1 700738 9.9972e+07
102 1 322861 4.60614e+07
125 1 13713 1.913e+06
7 1 5895 960810
7 1 5606 913680
102 1 929303 1.32581e+08
102 1 702082 1.00164e+08
9 1 3377 550411
101 1 418746 7.95616e+07
125 1 5595 780443
101 1 292526 5.55799e+07
7 1 7655 1.24775e+06
102 1 252563 3.60323e+07
102 1 804045 1.1471e+08
7 1 1692 275779
102 1 159079 2.26953e+07
9 1 1963 319831
102 1 721922 1.02994e+08
102 1 1.00872e+06 1.4391e+08
123 1 3978 665694
7 1 6037 984021
102 1 360944 5.14947e+07
101 1 288652 5.48438e+07
9 1 545 88844
9 1 1876 305805
9 1 1951 318040
7 1 1562 254661
111 1 38305 5.95004e+06
9 1 6131 999333
125 1 9443 1.34083e+06
9 1 7709 1.25663e+06
102 1 62969 8.9836e+06
125 1 7437 1.05595e+06
101 1 199780 3.79582e+07
7 1 5073 826894
7 1 3332 543090
102 1 481259 6.86596e+07
9 1 8425 1.37314e+06
7 1 4531 738441
102 1 76895 1.09703e+07
125 1 25539 3.5626e+06
102 1 706417 1.00782e+08
102 1 984418 1.40444e+08
102 1 673109 9.60301e+07
7 1 640 104351
102 1 302173 4.31099e+07
102 1 782948 1.11701e+08
125 1 5757 802976
121 1 219 43478
102 1 636637 9.08268e+07
102 1 886171 1.26427e+08
125 1 16359 2.32293e+06
9 1 5009 816449
102 1 333212 4.75384e+07
102 1 929485 1.32606e+08
101 1 247765 4.70752e+07
102 1 1.00286e+06 1.43074e+08
7 1 3805 620183
127 1 615 121481
102 1 717163 1.02315e+08
102 1 1.1028e+06 1.57333e+08
123 1 4026 673665
7 1 7932 1.29284e+06
7 1 5698 928725
9 1 8842 1.44124e+06
9 1 8737 1.42408e+06
9 1 1116 181871
127 1 940 185735
101 1 131083 2.49056e+07
9 1 6610 1.07732e+06
102 1 1.12145e+06 1.59994e+08
7 1 3733 608319
102 1 1.09332e+06 1.5598e+08
7 1 1472 239906
102 1 879430 1.25465e+08
102 1 53614 7.64893e+06
102 1 648599 9.25334e+07
102 1 695175 9.91783e+07
102 1 217631 3.10486e+07
9 1 6007 979166
102 1 107000 1.52654e+07
125 1 11619 1.62079e+06
102 1 649237 9.26244e+07
102 1 1.10211e+06 1.57235e+08
102 1 834323 1.1903e+08
101 1 96288 1.82946e+07
102 1 543590 7.75522e+07
102 1 785669 1.12089e+08
9 1 5209 848996
102 1 90778 1.29509e+07
102 1 760934 1.0856e+08
9 1 7355 1.19877e+06
102 1 209354 2.98678e+07
102 1 711875 1.01561e+08
102 1 791716 1.12951e+08
102 1 789051 1.12571e+08
101 1 409629 7.78294e+07
102 1 534200 7.62126e+07
102 1 300280 4.28399e+07
7 1 5775 941283
9 1 356 57969
101 1 16810 3.19389e+06
7 1 2152 350685
102 1 942731 1.34496e+08
7 1 482 78606
7 1 997 162484
102 1 601840 8.58625e+07
102 1 1.09257e+06 1.55873e+08
9 1 7746 1.26258e+06
101 1 132338 2.51441e+07
102 1 38393 5.47742e+06
7 1 5876 957804
102 1 712003 1.01579e+08
9 1 2968 483728
7 1 6825 1.11244e+06
102 1 329983 4.70776e+07
102 1 583532 8.32505e+07
102 1 188576 2.69035e+07
102 1 149996 2.13994e+07
125 1 12041 1.67971e+06
9 1 6406 1.04406e+06
9 1 3650 595024
102 1 416948 5.94845e+07
102 1 730229 1.04179e+08
9 1 2272 370231
101 1 22267 4.23062e+06
102 1 927233 1.32285e+08
7 1 6409 1.04466e+06
9 1 6915 1.12708e+06
7 1 5779 941849
121 1 9028 1.70628e+06
101 1 338049 6.42292e+07
102 1 559025 7.97543e+07
7 1 3524 574290
9 1 189 30797
102 1 1.08933e+06 1.55411e+08
7 1 151 24500
121 1 3329 661366
102 1 12329 1.75904e+06
102 1 641506 9.15215e+07
102 1 336266 4.79741e+07
102 1 585865 8.35834e+07
102 1 824267 1.17595e+08
101 1 365875 6.95161e+07
7 1 4988 813081
102 1 119754 1.70849e+07
102 1 185616 2.64812e+07
102 1 616770 8.79925e+07
102 1 417799 5.96059e+07
102 1 324127 4.62421e+07
102 1 229037 3.2676e+07
125 1 308 42915
7 1 2929 477402
9 1 5431 885220
9 1 4538 739683
7 1 6882 1.1217e+06
102 1 372548 5.31503e+07
7 1 354 57692
125 1 16994 2.37066e+06
102 1 626918 8.94403e+07
7 1 798 130019
9 1 2633 429063
7 1 1108 180601
102 1 833263 1.18879e+08
9 1 5615 915204
7 1 4603 750134
111 1 187823 3.58149e+07
125 1 10429 1.4548e+06
7 1 279 45433
7 1 3893 634581
102 1 547039 7.80441e+07
102 1 320434 4.57152e+07
9 1 5516 899165
102 1 1.01691e+06 1.45079e+08
9 1 2170 353692
7 1 310 50406
102 1 1.01643e+06 1.45011e+08
7 1 1945 316974
102 1 412285 5.88193e+07
102 1 949112 1.35407e+08
7 1 8206 1.33756e+06
102 1 937345 1.33728e+08
9 1 522 85004
102 1 196519 2.80366e+07
7 1 2728 444610
9 1 7364 1.20025e+06
9 1 911 148462
9 1 2089 340476
7 1 4532 738618
102 1 842273 1.20164e+08
102 1 556253 7.93587e+07
7 1 127 20575
7 1 4854 791117
7 1 6767 1.10291e+06
102 1 248570 3.54626e+07
9 1 1114 181482
102 1 277661 3.9613e+07
102 1 1.03324e+06 1.47408e+08
102 1 55163 7.86991e+06
9 1 7272 1.1853e+06
102 1 474002 6.76243e+07
101 1 374166 7.10915e+07
7 1 6899 1.12459e+06
125 1 13567 1.89256e+06
7 1 5003 815415
7 1 7991 1.30246e+06
102 1 17743 2.53123e+06
125 1 21127 2.94721e+06
125 1 8476 1.18235e+06
102 1 479825 6.84551e+07
