mc run lumi evt
6 1 6283 843953
7 1 2880 469374
6 1 9842 1322186
110 1 20005 8221757
9 1 1704 277665
7 1 8152 1328748
9 1 3556 579627
110 1 474742 195118672
9 1 6281 1023840
125 1 1081 150796
9 1 73 11745
7 1 5227 852025
9 1 2307 375976
9 1 7355 1198806
110 1 320088 131555768
102 1 580942 82880936
110 1 248387 102086664
102 1 420675 60016276
103 1 215899 34586988
110 1 348062 143053200
6 1 5476 735652
125 1 22427 3128451
110 1 253884 104346040
102 1 737124 105163016
121 1 3771 712547
110 1 51914 21336340
110 1 101741 41815180
102 1 37943 5413232
110 1 339477 139524640
110 1 339659 139599584
9 1 342 55714
7 1 7585 1236232
103 1 41409 6633861
125 1 17548 2447931
110 1 356554 146543584
9 1 3675 598991
110 1 285052 117156312
9 1 5110 832896
102 1 305477 43581436
7 1 4436 722998
103 1 449832 72063152
6 1 1372 184298
125 1 10571 1500991
110 1 220747 90726872
102 1 1003439 143157232
110 1 190489 78290640
7 1 4360 710596
110 1 308536 126808232
6 1 4289 576100
102 1 389288 55538340
125 1 20553 2867143
125 1 18467 2576203
102 1 353162 50384448
125 1 8099 1129844
102 1 619687 88408720
110 1 366322 150558320
7 1 2936 478486
6 1 5864 787706
102 1 543949 77603368
6 1 4361 585930
110 1 105333 43291780
6 1 3100 416402
125 1 8557 1215006
6 1 5208 699607
6 1 11086 1489191
6 1 4115 552773
102 1 151061 21551336
7 1 2554 416280
125 1 9744 1359260
102 1 649162 92613712
102 1 579142 82624248
125 1 17405 2427931
6 1 7246 973422
110 1 206354 84811248
125 1 8223 1147102
102 1 1015613 144894176
125 1 24703 3445959
103 1 407758 65322816
110 1 208177 85560544
9 1 3908 637059
102 1 996052 142103296
6 1 5440 730780
110 1 18520 7611310
110 1 15512 6375432
7 1 6556 1068543
111 1 23504 3650969
7 1 5546 903947
9 1 4874 794479
102 1 203609 29048168
110 1 448233 184223456
102 1 861214 122866560
110 1 444106 182527328
110 1 136197 55976888
101 1 79001 15010186
101 1 130838 24859108
9 1 2192 357253
7 1 2897 472274
9 1 8081 1317206
125 1 9559 1333458
110 1 479349 197012208
125 1 25488 3555542
102 1 823114 117430960
110 1 104091 42781108
7 1 5102 831673
7 1 4345 708227
9 1 893 145631
110 1 132870 54609432
9 1 3932 640810
125 1 18379 2563891
110 1 213260 87649520
6 1 317 42684
6 1 5533 743242
125 1 27098 3780102
110 1 298381 122634456
7 1 8713 1420115
9 1 715 116431
110 1 208834 85830624
6 1 8021 1077555
101 1 382569 72688048
102 1 662309 94489352
9 1 3053 497532
6 1 5038 676757
125 1 18844 2628679
9 1 4133 673678
101 1 172840 32839570
125 1 22595 3151907
111 1 318536 61211944
7 1 7042 1147873
6 1 314 42208
125 1 18913 2638338
110 1 54243 22293562
110 1 77798 31974672
110 1 373611 153553824
7 1 7573 1234388
125 1 21237 2962538
125 1 24214 3377841
125 1 1061 147894
125 1 8787 1225688
7 1 3137 511340
6 1 3071 412614
125 1 3778 526954
6 1 9005 1209745
7 1 5991 976488
125 1 19033 2654971
7 1 968 157672
6 1 3562 478537
125 1 15236 2125396
9 1 8266 1347295
7 1 4046 659552
110 1 163359 67140208
102 1 412318 58823944
110 1 287409 118125016
102 1 790994 112848400
110 1 278929 114639472
125 1 20486 2857732
101 1 20709 3934595
125 1 16755 2337328
125 1 3237 451487
102 1 471347 67245560
102 1 817789 116671248
9 1 8606 1402838
127 1 112 22068
7 1 1253 204224
102 1 1109132 158236096
110 1 99864 41043984
125 1 6547 913170
7 1 365 59374
9 1 5672 924600
125 1 28418 3964296
110 1 352090 144708736
6 1 9221 1238621
9 1 6812 1110266
109 1 57387 9770141
7 1 114 18547
110 1 400661 164671472
125 1 19999 2789798
6 1 10001 1343400
110 1 185410 76203312
102 1 862264 123016344
110 1 95140 39102256
127 1 342 67588
111 1 44515 6914596
7 1 2833 461805
9 1 5363 874187
111 1 36557 7025041
127 1 499 98658
102 1 404089 57650084
101 1 304555 57865296
7 1 2545 414805
102 1 1039852 148352128
110 1 203720 83728624
102 1 1119386 159699168
102 1 356624 50878468
103 1 260692 41762900
9 1 5155 840271
7 1 7829 1276048
102 1 648088 92460488
6 1 2458 330164
110 1 311618 128074648
103 1 45528 7293628
9 1 5542 903364
6 1 10537 1415517
102 1 123218 17579212
102 1 286898 40930732
125 1 7601 1060216
102 1 791815 112965568
6 1 5738 770760
125 1 8320 1181423
7 1 8767 1429023
110 1 80017 32886864
125 1 28621 3992525
110 1 268271 110259064
102 1 449594 64142164
125 1 6985 974376
9 1 2429 395990
102 1 86096 12282992
125 1 4329 603874
102 1 825458 117765440
9 1 6884 1122020
7 1 3612 588675
9 1 9198 1499191
110 1 195603 80392544
110 1 441354 181396160
9 1 1901 309911
125 1 24695 3444949
102 1 619064 88319832
110 1 301612 123962160
6 1 1979 265955
7 1 456 74278
125 1 12927 1803278
127 1 90 17616
6 1 8500 1141760
102 1 75073 10710472
9 1 4423 720799
102 1 384916 54914668
102 1 346423 49422940
125 1 17197 2398954
9 1 4388 715132
110 1 221916 91207400
9 1 3879 632213
125 1 18147 2531531
102 1 825804 117814688
103 1 438156 70192504
109 1 63076 10738683
125 1 12389 1728198
7 1 4714 768415
101 1 229550 43614440
110 1 94260 38740544
9 1 4811 784197
110 1 268721 110443936
9 1 4036 657815
102 1 686425 97929856
9 1 281 45832
102 1 290249 41408792
102 1 1102823 157336096
103 1 41147 6591650
7 1 7949 1295731
125 1 25068 3496933
125 1 28402 3962071
110 1 228339 93847256
9 1 8639 1408161
102 1 581483 82958328
7 1 7683 1252280
103 1 107758 17262912
6 1 7643 1026668
103 1 35197 5638474
111 1 134828 25909408
111 1 26680 4713428
102 1 1024099 146104832
6 1 3911 525379
101 1 412063 78291856
125 1 26965 3761497
102 1 973282 138854896
7 1 3127 509598
127 1 50 9789
110 1 240968 99037688
125 1 12219 1704423
