mc lep_category run lumi evt
107 5 1 297203 47156176
104 5 1 99142 18341240
111 5 1 33986 6004179
101 5 1 262983 49966692
13 5 1 6355 879102
101 5 1 45613 8666427
101 5 1 164497 31254386
125 5 1 19000 2650440
125 5 1 16071 2241934
13 5 1 1828 252770
111 5 1 10740 1897323
101 3 1 328995 62509072
101 4 1 315081 59865376
101 5 1 344187 65395492
13 5 1 4364 603639
101 5 1 128083 24335728
111 3 1 40524 6294683
123 4 1 13257 4109620
102 4 1 913850 130376024
101 5 1 319729 60748400
102 5 1 779431 111198696
13 3 1 3218 445183
108 4 1 13168 5155269
101 3 1 13046 2478723
111 5 1 10721 1665348
105 5 1 176467 28058140
102 3 1 883166 125998424
125 5 1 28181 3931135
13 4 1 9554 1321617
107 4 1 208568 33092816
101 3 1 42396 8055213
13 5 1 3365 465531
101 3 1 12065 2292316
101 4 1 200761 38144516
105 3 1 126679 20141860
101 3 1 213547 40573848
101 3 1 191261 36339520
101 5 1 151685 28820132
13 5 1 1934 267558
101 4 1 19706 3744041
101 5 1 387472 73619696
106 3 1 72794 12690288
121 5 1 1551 308202
101 3 1 284363 54028896
13 4 1 2885 399212
111 5 1 33945 5996896
105 4 1 87453 13729965
125 5 1 3008 427127
102 5 1 630319 89925488
101 4 1 125732 23889072
101 5 1 213343 40535092
111 4 1 19802 3075874
13 4 1 7052 975517
13 5 1 8984 1242787
108 3 1 43107 16876284
13 4 1 9626 1331559
104 3 1 142034 26276140
104 5 1 73262 13553437
101 4 1 310247 58946836
125 4 1 8315 1159871
105 5 1 162985 25914552
101 5 1 99057 18820696
13 5 1 4621 639141
123 5 1 10207 3164169
101 3 1 355236 67494728
101 3 1 288395 54795068
101 5 1 102803 19532476
102 5 1 944246 134712464
13 5 1 7763 1073985
101 5 1 301595 57303060
101 5 1 172274 32731880
108 5 1 227935 89236504
125 5 1 11089 1546892
107 5 1 163231 25899324
107 5 1 325676 51673864
101 3 1 218908 41592408
125 5 1 3811 531620
101 5 1 88766 16865498
101 5 1 170108 32320382
125 3 1 15015 2094623
101 4 1 340140 64626588
107 3 1 338618 53727388
101 5 1 263101 49989188
125 5 1 19191 2677202
106 3 1 161955 28234038
101 5 1 4686 890278
13 5 1 977 135163
108 4 1 215423 84337736
106 4 1 15620 2723003
108 3 1 28152 11021404
123 5 1 7867 2438703
101 5 1 417307 79288232
127 5 1 173 34134
101 3 1 355077 67464568
123 4 1 2731 846544
101 5 1 408916 77694056
101 5 1 168798 32071504
101 5 1 292360 55548372
13 5 1 4069 562765
101 3 1 130935 24877632
111 5 1 45615 8765774
101 5 1 316276 60092456
127 5 1 997 196939
108 5 1 87279 34169380
123 5 1 2633 816055
108 5 1 266630 104385600
101 5 1 299879 56977004
108 5 1 13851 5422623
107 4 1 356828 56616712
13 3 1 8999 1244923
102 5 1 605716 86415528
101 5 1 29058 5521014
101 5 1 252066 47892460
101 5 1 111560 21196340
101 4 1 234262 44509692
101 4 1 42146 8007576
108 5 1 335355 131291632
125 3 1 24027 3351785
101 3 1 295285 56104016
101 3 1 404593 76872608
107 3 1 355310 56375908
101 5 1 293230 55713544
101 3 1 406514 77237536
101 3 1 52863 10043959
101 5 1 114554 21765172
108 5 1 343689 134553872
13 3 1 566 78298
127 3 1 494 97608
102 3 1 104312 14881889
105 5 1 167187 26248408
105 4 1 13005 2041797
101 5 1 308497 58614304
125 5 1 15171 2116317
121 5 1 662 131535
102 5 1 28439 4057359
101 5 1 148263 28169856
111 5 1 18646 3294057
125 5 1 12911 1801008
125 5 1 8158 1138000
111 4 1 27769 4905722
102 3 1 1086952 155071728
101 5 1 250756 47643516
101 5 1 123939 23548380
101 5 1 44380 8432229
101 3 1 114601 21774116
106 5 1 16037 2722298
101 4 1 338131 64244832
106 5 1 105351 18366148
101 5 1 263137 49995920
125 5 1 9153 1276823
101 5 1 417057 79240792
101 5 1 319282 60663432
111 5 1 80667 15381885
102 5 1 725333 103480816
125 5 1 3655 509737
13 4 1 569 78672
101 3 1 312934 59457396
101 5 1 370600 70414008
101 5 1 300517 57098044
105 5 1 91809 14414008
125 4 1 25800 3599064
101 3 1 64904 12331583
101 3 1 363423 69050368
106 5 1 37884 6604426
101 4 1 39085 7426099
106 5 1 75701 12850076
106 3 1 105743 17949812
107 3 1 112 17695
127 5 1 1252 247548
101 3 1 310181 58934436
107 5 1 363125 57615820
13 5 1 6652 920084
101 4 1 210551 40004696
102 3 1 163103 23269374
123 4 1 5850 978885
101 5 1 62085 11796054
125 5 1 12219 1704450
101 4 1 48812 9274245
101 3 1 180701 34333116
127 3 1 1181 233484
101 5 1 287734 54669368
13 3 1 8089 1118945
