mc run lumi evt
101 1 125424 1.03976e+08
10 1 8747 944675
101 1 101643 8.42617e+07
101 1 89138 7.3895e+07
101 1 76367 6.33079e+07
12 1 8294 995271
102 1 13249 1.09032e+07
101 1 82311 6.82352e+07
101 1 1212 1.00466e+06
101 1 123878 1.02695e+08
101 1 7781 6.44978e+06
11 1 7204 994162
12 1 5335 640169
101 1 72755 6.03134e+07
101 1 99201 8.22371e+07
125 1 28222 1.12542e+07
11 1 10031 1.38428e+06
127 1 533 100444
125 1 38065 1.51792e+07
10 1 1917 207115
127 1 1585 298523
101 1 65354 5.41784e+07
116 1 13149 2.62578e+06
125 1 48259 1.92443e+07
101 1 83484 6.92077e+07
101 1 110400 9.1521e+07
10 1 9795 1.05786e+06
125 1 13123 5.24338e+06
12 1 1973 236825
102 1 60063 5.02227e+07
125 1 11746 4.69308e+06
127 1 4302 810513
101 1 73356 6.08118e+07
101 1 3924 3.25269e+06
11 1 1655 228391
125 1 12305 4.91654e+06
101 1 121290 1.00549e+08
12 1 3153 378258
101 1 109070 9.04187e+07
101 1 58989 4.89015e+07
101 1 4769 3.95273e+06
101 1 51663 4.28285e+07
10 1 3921 423453
13 1 9464 1.3093e+06
101 1 28147 2.33338e+07
101 1 121317 1.00571e+08
125 1 7862 3.13517e+06
125 1 23153 9.25095e+06
123 1 1817 304039
101 1 22119 1.83363e+07
101 1 52621 4.36226e+07
101 1 42576 3.5295e+07
125 1 8574 3.41883e+06
125 1 18545 7.41003e+06
101 1 36824 3.05271e+07
101 1 40568 3.36301e+07
125 1 12054 4.80683e+06
101 1 21309 1.76644e+07
125 1 24498 9.76917e+06
101 1 34298 2.84326e+07
101 1 126954 1.05245e+08
12 1 1411 169373
101 1 92367 7.6572e+07
125 1 11501 4.5864e+06
125 1 3011 1.20053e+06
101 1 92117 7.6365e+07
101 1 45268 3.75271e+07
10 1 8167 882088
10 1 9049 977199
101 1 16012 1.32733e+07
101 1 8267 6.85324e+06
13 1 584 80869
11 1 10178 1.40467e+06
125 1 11469 4.57351e+06
12 1 1257 150919
101 1 28449 2.35841e+07
101 1 109469 9.07498e+07
101 1 51507 4.26988e+07
101 1 71941 5.96383e+07
101 1 118942 9.86024e+07
101 1 78281 6.48949e+07
12 1 2817 338016
101 1 51340 4.25604e+07
101 1 111870 9.27395e+07
101 1 94412 7.82669e+07
125 1 32551 1.29806e+07
14 1 6441 924240
101 1 100044 8.29364e+07
11 1 346 47663
13 1 4678 647131
12 1 3444 413257
125 1 21150 8.45093e+06
101 1 32461 2.69099e+07
10 1 797 85982
101 1 55330 4.58683e+07
10 1 13589 1.4676e+06
127 1 4106 773552
101 1 22670 1.87932e+07
125 1 5691 2.26945e+06
101 1 1319 1.09341e+06
10 1 13875 1.49845e+06
101 1 45006 3.73095e+07
12 1 6341 760801
125 1 36598 1.46232e+07
125 1 4286 1.71241e+06
101 1 95187 7.891e+07
101 1 45639 3.78347e+07
125 1 11917 4.76161e+06
13 1 4222 584054
14 1 9465 1.35819e+06
125 1 16804 6.70084e+06
13 1 3491 482854
101 1 107179 8.88514e+07
101 1 15572 1.29085e+07
11 1 6281 866734
101 1 45334 3.75812e+07
13 1 3371 466358
101 1 35877 2.97417e+07
101 1 89559 7.42442e+07
127 1 4319 813796
11 1 6488 895460
101 1 12286 1.01846e+07
125 1 4803 1.91505e+06
101 1 60262 4.99564e+07
101 1 40894 3.39011e+07
125 1 48744 1.94764e+07
101 1 83929 6.95769e+07
101 1 94931 7.8697e+07
11 1 7274 1.00382e+06
11 1 6547 903505
123 1 1630 272732
125 1 27817 1.10929e+07
125 1 49401 1.97393e+07
101 1 31591 2.61884e+07
101 1 78137 6.47751e+07
125 1 24892 9.92607e+06
116 1 11239 2.24434e+06
12 1 9485 1.13824e+06
125 1 27562 1.10129e+07
12 1 10915 1.30968e+06
13 1 4952 685060
101 1 102422 8.49075e+07
125 1 17268 6.89954e+06
