mc run lumi evt
103 1 286184 45846788
101 1 366368 69609792
101 1 186039 35347312
101 1 3491 663189
101 1 111228 21133218
101 1 362954 68961104
12 1 8551 1026166
101 1 245134 46575304
101 1 32242 6125908
127 1 12 2259
101 1 11450 2175396
101 1 31646 6012684
101 1 318895 60589992
101 1 403667 76696752
125 1 24515 3481144
101 1 62906 11952132
101 1 191840 36449604
101 1 327909 62302652
101 1 308518 58618400
125 1 6917 964964
101 1 256278 48692716
11 1 6212 857330
111 1 1519 268302
101 1 283437 53853008
101 1 102696 19512172
101 1 182226 34622920
101 1 57694 10961770
101 1 185696 35282168
125 1 16968 2409437
101 1 382182 72614472
101 1 165128 31374264
101 1 56067 10652587
101 1 104605 19874884
101 1 338448 64305032
101 1 139568 26517820
101 1 103292 19625354
101 1 353888 67238616
101 1 399292 75865432
101 1 270736 51439792
103 1 10769 1725271
125 1 9196 1305810
101 1 326855 62102324
101 1 179811 34164112
101 1 330586 62811192
101 1 45052 8559886
13 1 2060 284960
101 1 5296 1006210
101 1 316483 60131776
13 1 5167 714794
101 1 45907 8722276
101 1 296014 56242560
101 1 398351 75686712
101 1 418895 79590016
109 1 43007 7321954
101 1 362352 68846776
101 1 101085 19206114
103 1 368373 59013372
101 1 55797 10601457
103 1 47231 7566262
109 1 69550 11840801
101 1 343405 65246864
101 1 144701 27493120
101 1 349315 66369780
101 1 195657 37174724
101 1 213698 40602632
101 1 85271 16201483
103 1 411036 65847968
101 1 304360 57828364
101 1 326093 61957664
101 1 21415 4068763
12 1 10945 1313346
101 1 272870 51845120
101 1 83943 15949187
109 1 16201 2758147
101 1 181386 34463336
13 1 59 8186
101 1 298055 56630488
101 1 56333 10703208
101 1 25915 4923697
101 1 149260 28359302
101 1 134536 25561768
101 1 244245 46406536
101 1 109805 20862920
101 1 131343 24955024
125 1 394 55878
14 1 2529 362921
103 1 41896 6711711
101 1 135338 25714132
101 1 314050 59669416
101 1 258292 49075448
125 1 14223 2019602
101 1 4633 880132
101 1 290300 55157008
103 1 369816 59244540
121 1 4162 786584
101 1 170096 32318072
101 1 301019 57193512
101 1 97935 18607624
101 1 280202 53238252
101 1 306572 58248612
101 1 42970 8164265
101 1 48706 9254094
101 1 282703 53713500
101 1 182491 34673160
109 1 58855 10020033
101 1 276064 52452132
101 1 239661 45535588
101 1 48366 9189458
101 1 64143 12187080
103 1 225663 36151176
101 1 342708 65114452
101 1 129898 24680612
101 1 2892 549447
101 1 101142 19216920
101 1 267913 50903344
101 1 231538 43992140
11 1 6157 849555
101 1 316744 60181376
101 1 261920 49764632
101 1 15851 3011562
101 1 207414 39408560
101 1 32043 6088117
101 1 349198 66347656
101 1 388004 73720632
101 1 383837 72928944
14 1 2182 313098
101 1 225398 42825528
101 1 236175 44873172
101 1 324351 61626644
101 1 57406 10907098
101 1 296476 56330304
101 1 322875 61346224
101 1 380496 72294192
103 1 137331 22000364
101 1 29687 5640408
101 1 143683 27299690
101 1 25803 4902540
101 1 314940 59838592
101 1 299020 56813748
125 1 20965 2924645
