mc run lumi evt
103 1 126157 20210278
101 1 270196 51337204
101 1 347636 66050784
101 1 220742 41940988
101 1 407440 77413616
101 1 229869 43675048
103 1 430706 68998960
101 1 251179 47723904
101 1 357704 67963584
101 1 101793 19340544
101 1 346271 65791524
103 1 294784 47224364
101 1 261746 49731592
102 1 855451 122044368
103 1 219804 35212732
101 1 79358 15077931
101 1 205514 39047668
101 1 222718 42316400
101 1 375048 71259040
101 1 225729 42888364
121 1 9859 1863239
101 1 78475 14910161
101 1 190363 36168960
101 1 203119 38592532
101 1 50485 9592078
101 1 2846 540742
101 1 81926 15565784
109 1 50673 8626925
101 1 5241 995734
101 1 252313 47939296
103 1 217322 34815028
101 1 412526 78379928
103 1 161121 25811508
101 1 106532 20241060
101 1 21249 4037287
101 1 180255 34248380
101 1 263954 50151152
101 1 146860 27903286
101 1 33981 6456222
101 1 294466 55948552
101 1 147234 27974442
101 1 127249 24177152
101 1 256471 48729452
101 1 202488 38472620
101 1 303122 57593056
101 1 110469 20988992
101 1 143130 27194662
101 1 328052 62329828
101 1 408919 77694560
101 1 21341 4054671
125 1 25959 3686065
101 1 215263 40899972
101 1 356432 67722016
101 1 359753 68353040
103 1 221459 35477748
101 1 409178 77743704
101 1 344172 65392572
101 1 152363 28948968
101 1 243315 46229756
101 1 191840 36449616
101 1 249886 47478372
101 1 382597 72693328
101 1 326558 62045984
101 1 256975 48825256
101 1 275839 52409232
101 1 159790 30360138
103 1 92492 14817151
101 1 205771 39096388
101 1 339191 64446176
101 1 267853 50892020
101 1 237770 45176316
101 1 289540 55012488
101 1 329930 62686556
101 1 75158 14279917
103 1 427627 68505728
101 1 144363 27428866
101 1 376007 71441232
101 1 316862 60203688
101 1 173114 32891596
101 1 19021 3613866
101 1 113897 21640352
101 1 169045 32118450
101 1 363207 69009232
101 1 323533 61471096
101 1 183037 34776996
103 1 125852 20161444
101 1 165730 31488606
101 1 211298 40146584
101 1 67981 12916213
101 1 249919 47484552
101 1 273792 52020428
101 1 368722 70057200
101 1 177203 33668484
103 1 492677 78926776
101 1 184628 35079240
12 1 3259 391085
101 1 235867 44814604
12 1 1199 143767
101 1 119074 22623940
101 1 294365 55929324
101 1 222990 42367992
11 1 634 87453
125 1 25227 3582215
125 1 27899 3961537
101 1 95278 18102684
101 1 393809 74823672
101 1 420849 79961200
101 1 147892 28099476
101 1 131313 24949308
101 1 27055 5140274
101 1 180949 34380276
101 1 41914 7963673
101 1 372339 70744384
101 1 112244 21326206
101 1 347636 66050820
101 1 137202 26068338
103 1 209611 33579656
12 1 1727 207273
101 1 166196 31577230
101 1 169926 32285860
101 1 137619 26147636
101 1 123383 23442688
101 1 117317 22290136
102 1 561937 80169632
101 1 265142 50376912
101 1 253212 48110256
101 1 291457 55376752
101 1 98935 18797624
12 1 9610 1153178
101 1 218040 41427564
101 1 101576 19299448
101 1 153051 29079596
101 1 106407 20217336
101 1 341537 64891880
101 1 130975 24885218
101 1 304154 57789120
101 1 109115 20731800
101 1 133253 25318060
103 1 30273 4849691
103 1 395221 63314296
101 1 195420 37129664
101 1 178970 34004156
101 1 271538 51592076
101 1 417157 79259760
101 1 94984 18046964
101 1 123999 23559696
101 1 169473 32199844
101 1 50471 9589523
109 1 58676 9989576
101 1 216033 41046152
101 1 29844 5670354
101 1 31846 6050768
101 1 354609 67375544
11 1 7229 997705
101 1 384979 73145824
101 1 368305 69977768
101 1 97661 18555548
103 1 53842 8625495
101 1 349089 66326764
101 1 229212 43550276
