mc run lumi evt
125 1 1856 263540
109 1 34829 5929505
101 1 344936 65537784
101 1 263010 49971844
6 1 11104 1491526
9 1 820 133579
103 1 124068 19875616
7 1 1253 204241
101 1 122974 23364930
101 1 363278 69022696
101 1 50883 9667649
101 1 111879 21256846
101 1 290398 55175532
101 1 207986 39517200
123 1 341 56968
101 1 150222 28542102
101 1 193917 36844152
101 1 328819 62475560
101 1 149300 28366960
101 1 223330 42432692
101 1 250035 47506672
101 1 340960 64782344
101 1 263313 50029420
101 1 141462 26877776
121 1 4896 925228
125 1 25843 3605030
101 1 414380 78732200
101 1 149842 28469950
101 1 232843 44239992
101 1 10492 1993397
101 1 69403 13186390
101 1 342509 65076608
101 1 376788 71589584
101 1 178267 33870548
109 1 64374 10959538
101 1 390225 74142688
7 1 5372 875543
103 1 40352 6464307
101 1 9474 1799957
6 1 9055 1216287
101 1 265092 50367468
103 1 171326 27446432
101 1 202631 38499928
101 1 317942 60408872
101 1 325673 61877784
101 1 224626 42678948
101 1 369640 70231440
103 1 497468 79694432
101 1 128825 24476660
101 1 27546 5233730
6 1 5128 688730
7 1 3598 586424
101 1 64411 12237914
101 1 266067 50552676
101 1 262476 49870368
101 1 294156 55889596
101 1 331716 63025968
101 1 308534 58621304
103 1 335306 53715872
101 1 133531 25370756
101 1 345249 65597208
101 1 99146 18837712
125 1 21952 3117149
101 1 302114 57401604
101 1 342752 65122896
101 1 297984 56616840
103 1 17643 2826519
101 1 327403 62206444
9 1 1708 278340
101 1 419087 79626432
101 1 209509 39806588
101 1 208272 39571612
101 1 192062 36491800
101 1 367 69734
101 1 306257 58188680
9 1 7900 1287545
125 1 21778 3092436
101 1 110541 21002816
101 1 343515 65267720
101 1 181461 34477592
102 1 401350 57259304
101 1 382490 72673088
101 1 209024 39714400
103 1 353066 56561200
103 1 98797 15827181
101 1 150747 28641940
101 1 100463 19087870
101 1 5819 1105578
101 1 306889 58308752
101 1 331537 62991868
103 1 46836 7503123
125 1 15425 2151784
101 1 117157 22259714
101 1 171928 32666202
6 1 2513 337573
6 1 3038 408082
101 1 193304 36727672
101 1 255173 48482736
101 1 225984 42936856
101 1 291580 55400208
101 1 351977 66875528
103 1 296549 47507272
101 1 93839 17829460
101 1 44851 8521655
101 1 33926 6445894
101 1 162197 30817388
103 1 433644 69469744
101 1 151194 28726742
121 1 8716 1647247
101 1 143893 27339486
101 1 28667 5446628
103 1 28361 4543403
101 1 298562 56726784
101 1 147506 28026138
101 1 408623 77638224
101 1 282451 53665656
101 1 315179 59884028
6 1 7504 1007963
101 1 170188 32335604
101 1 27450 5215380
101 1 154851 29421584
101 1 128643 24442006
7 1 3507 571641
101 1 120657 22924800
101 1 342609 65095556
101 1 349796 66461232
101 1 220247 41846832
101 1 211843 40250044
101 1 346175 65773180
101 1 209413 39788388
