mc lep_category run lumi evt
101 5 1 245487 46642368
101 3 1 79976 15195318
125 5 1 15608 2177302
7 5 1 460 74964
101 3 1 165236 31394836
104 4 1 135668 25098580
125 5 1 7831 1092418
6 5 1 4183 561907
107 5 1 90336 14333244
125 5 1 3389 472634
101 5 1 413004 78470736
125 5 1 21495 2998436
106 3 1 12899 2248724
107 5 1 371965 59018368
9 3 1 4125 672308
6 3 1 2917 391869
101 5 1 163298 31026598
125 3 1 28550 3982724
9 4 1 1816 295989
101 4 1 133466 25358472
7 3 1 7663 1249026
125 3 1 15095 2105708
127 5 1 408 80622
111 5 1 38601 6819420
102 5 1 265561 37886616
7 3 1 4244 691753
101 5 1 239356 45477672
101 5 1 75948 14430031
125 5 1 5421 756159
9 3 1 1178 191960
106 5 1 158071 26832622
7 5 1 4365 711460
105 5 1 118448 18833246
125 3 1 7530 1069229
101 5 1 114392 21734304
101 5 1 59395 11284932
101 3 1 273650 51993484
101 4 1 111666 21216418
101 5 1 66921 12714994
123 5 1 10239 3173824
108 3 1 63491 24856572
6 5 1 7912 1062765
108 5 1 320481 125467952
101 3 1 415608 78965440
101 5 1 82905 15751817
101 5 1 87265 16580259
101 5 1 10731 2038890
101 4 1 246104 46759748
9 5 1 1430 232978
104 5 1 9530 1762887
101 4 1 321346 61055688
7 5 1 40 6469
6 5 1 1177 158121
107 4 1 68497 10868127
7 5 1 6067 988814
101 3 1 404241 76805632
105 4 1 115475 18360560
101 5 1 85930 16326672
105 4 1 178886 28085040
101 4 1 381965 72573264
125 5 1 19684 2745890
106 5 1 146057 24793056
101 5 1 54310 10318886
101 3 1 254116 48282064
101 3 1 169653 32234054
125 3 1 1784 248792
111 3 1 17794 2764019
127 5 1 1162 229632
102 3 1 630431 89941464
108 5 1 43260 16936138
101 5 1 201574 38298964
108 4 1 315631 123569400
125 5 1 20183 2865924
101 3 1 61181 11624292
101 3 1 299258 56858996
101 5 1 120557 22905690
101 4 1 101510 19286746
6 4 1 7321 983462
101 5 1 371635 70610576
101 3 1 54581 10370289
101 3 1 413548 78574008
101 4 1 126732 24079008
101 5 1 237754 45173260
9 4 1 866 141132
123 3 1 5782 1792164
101 5 1 294399 55935664
9 5 1 6632 1080968
7 3 1 9155 1492264
9 5 1 3017 491820
105 3 1 95467 15179277
9 5 1 7556 1231508
7 3 1 6260 1020282
101 5 1 420949 79980224
125 5 1 3631 506477
108 4 1 273855 107214240
101 5 1 150286 28554344
106 5 1 89397 15175073
7 5 1 281 45719
101 5 1 67083 12745649
101 5 1 261955 49771296
101 4 1 117064 22242018
6 5 1 9598 1289268
106 5 1 65493 11117294
7 4 1 7700 1255124
104 3 1 119911 22183472
101 5 1 185989 35337736
9 3 1 7537 1228530
101 4 1 244107 46380288
123 5 1 6267 1942648
125 5 1 10290 1435413
107 5 1 45524 7223073
101 5 1 369055 70120352
125 5 1 14741 2056425
125 5 1 19375 2702834
108 5 1 219839 86066856
101 5 1 125584 23860846
101 5 1 333539 63372372
101 5 1 348270 66171264
107 3 1 1144 181545
127 5 1 884 174667
125 5 1 17265 2408378
127 5 1 1139 225195
121 5 1 5448 1029581
101 4 1 22419 4259640
125 5 1 23160 3230742
121 5 1 2815 531936
7 3 1 4170 679652
101 5 1 40049 7609172
105 5 1 123850 19444412
108 3 1 184474 72221520
