mc run lumi evt
101 1 179646 34132656
101 1 407552 77434768
101 1 333753 63413088
101 1 254359 48328056
101 1 295603 56164480
101 1 260093 49417700
101 1 401780 76338160
101 1 308966 58703364
101 1 380230 72243624
101 1 350127 66524024
101 1 266587 50651368
101 1 282454 53666140
101 1 232223 44122232
101 1 393764 74815024
7 1 856 139443
101 1 63507 12066247
103 1 428406 68630640
101 1 92328 17542252
101 1 259241 49255736
101 1 409613 77826496
101 1 170323 32361212
101 1 237525 45129680
9 1 7288 1187858
101 1 104650 19883462
103 1 477440 76485888
101 1 173962 33052780
121 1 503 99957
101 1 131663 25015884
101 1 261007 49591324
101 1 235142 44676976
101 1 353631 67189776
103 1 441572 70739840
9 1 5478 892899
9 1 9190 1497902
101 1 319196 60647132
101 1 195905 37221908
101 1 372769 70825944
101 1 289928 55086328
101 1 222947 42359892
101 1 204480 38851088
101 1 195624 37168528
101 1 249398 47385512
101 1 183401 34846120
101 1 296083 56255748
101 1 70415 13378781
9 1 3686 600812
101 1 21726 4127883
101 1 287107 54550336
101 1 215760 40994400
6 1 5566 747659
101 1 122180 23214134
101 1 246220 46781816
101 1 134626 25578928
101 1 374841 71219688
101 1 300076 57014392
101 1 190979 36286036
101 1 91048 17298998
103 1 347621 55688808
101 1 344488 65452716
101 1 230530 43800620
101 1 270249 51347304
101 1 305464 58038184
6 1 4709 632626
101 1 255423 48530356
9 1 950 154811
101 1 354044 67268240
101 1 109480 20801218
101 1 181188 34425684
101 1 184415 35038864
101 1 309949 58890252
101 1 253863 48233864
101 1 38790 7370036
101 1 328685 62450048
101 1 416752 79182848
101 1 225509 42846720
101 1 343157 65199788
101 1 381678 72518704
103 1 57438 9201582
101 1 195672 37177656
101 1 378360 71888312
101 1 211993 40278556
101 1 356027 67645096
101 1 415617 78967168
101 1 179885 34178168
101 1 178317 33880140
103 1 145371 23288276
125 1 6931 984254
101 1 106507 20236282
101 1 160532 30500988
101 1 258347 49085972
101 1 145169 27581996
101 1 25525 4849713
101 1 118278 22472696
101 1 268090 50937060
7 1 2531 412602
103 1 237489 38045744
101 1 404184 76794952
101 1 21099 4008745
101 1 391847 74450960
101 1 51095 9708089
125 1 22033 3128555
103 1 332884 53328084
101 1 19310 3668843
101 1 210025 39904576
101 1 28608 5435435
103 1 180926 28984378
9 1 3643 593727
101 1 107788 20479660
101 1 164681 31289290
101 1 288715 54855760
101 1 320181 60834264
101 1 387517 73628208
101 1 83910 15942820
103 1 229591 36780380
103 1 55557 8900188
101 1 409927 77885984
101 1 361438 68673064
101 1 176554 33545140
101 1 86156 16369522
101 1 403688 76700608
101 1 116562 22146668
101 1 32397 6155397
101 1 182609 34695628
6 1 9562 1284447
9 1 1006 163943
101 1 307940 58508452
101 1 409764 77855032
103 1 175052 28043284
101 1 133467 25358608
101 1 152494 28973860
101 1 225418 42829388
101 1 176097 33458428
101 1 4390 834020
101 1 104270 19811294
101 1 420199 79837696
101 1 258359 49088224
103 1 371507 59515340
101 1 305980 58136232
101 1 14935 2837652
101 1 218093 41437528
101 1 184415 35038784
101 1 183451 34855648
101 1 101307 19248174
103 1 154008 24672052
101 1 223066 42382544
101 1 169304 32167656
101 1 50584 9610952
101 1 185585 35261068
101 1 213884 40637796
101 1 399923 75985256
125 1 8398 1192486
101 1 242734 46119424
101 1 119413 22688380
101 1 98749 18762220
101 1 339799 64561704
101 1 240024 45604456
101 1 358623 68138248
101 1 289618 55027384
101 1 334721 63596872
101 1 128816 24475060
101 1 363652 69093752
125 1 28016 3978261
9 1 431 70216
101 1 93353 17736980
101 1 407371 77400384
101 1 289594 55022896
101 1 156380 29712190
101 1 45092 8567415
101 1 21208 4029463
103 1 464962 74486936
6 1 4088 549155
101 1 253636 48190740
101 1 325574 61859040
101 1 293518 55768296
101 1 19453 3695933
6 1 11020 1480228
101 1 254256 48308504
6 1 6889 925317
101 1 340295 64656084
101 1 341237 64834936
101 1 217106 41250136
101 1 196798 37391512
101 1 274335 52123520
101 1 253750 48212512
125 1 18251 2591580
101 1 52970 10064180
101 1 372265 70730288
101 1 194067 36872664
7 1 2776 452503
101 1 46040 8747592
6 1 6197 832441
101 1 269471 51199496
101 1 27616 5247026
9 1 4154 677085
101 1 318724 60557568
101 1 107189 20365902
109 1 8133 1384657
101 1 52463 9967971
103 1 360697 57783728
101 1 96086 18256236
101 1 413274 78522000
101 1 360402 68476264
101 1 148316 28179950
101 1 47770 9076288
101 1 379161 72040536
6 1 7339 985919
101 1 384607 73075296
101 1 20055 3810323
101 1 360089 68416952
101 1 74177 14093633
103 1 128242 20544396
7 1 3353 546600
101 1 391238 74335072
101 1 364387 69233400
103 1 185582 29730164
101 1 236760 44984376
101 1 185419 35229432
101 1 157887 29998412
101 1 9358 1777946
101 1 201890 38359016
103 1 356637 57133268
101 1 15348 2916074
101 1 112729 21418448
101 1 216965 41223200
101 1 221082 42005556
101 1 408386 77593360
103 1 317538 50869604
101 1 17266 3280541
101 1 154487 29352476
101 1 107048 20338982
101 1 313947 59649832
101 1 193445 36754412
101 1 229209 43549564
103 1 222549 35652424
101 1 88725 16857764
101 1 108510 20616896
101 1 72052 13689901
101 1 125063 23761988
9 1 2000 326047
101 1 315173 59882908
101 1 42404 8056626
101 1 317662 60355696
7 1 4048 659779
109 1 35446 6034596
101 1 114193 21696592
101 1 245559 46656180
103 1 348513 55831816
103 1 231033 37011572
101 1 243404 46246696
101 1 23239 4415246
101 1 77186 14665265
102 1 82843 11818855
101 1 157491 29923222
101 1 366628 69659208
101 1 92799 17631760
101 1 131629 25009336
7 1 5603 913358
101 1 201339 38254440
101 1 6756 1283504
101 1 251068 47702952
101 1 167280 31783088
101 1 372236 70724792
7 1 5897 961167
6 1 10562 1418780
101 1 354617 67377096
101 1 12213 2320380
101 1 70553 13405118
101 1 656 124587
101 1 151816 28844984
7 1 4018 654818
7 1 6231 1015617
101 1 392906 74652048
6 1 3694 496232
109 1 25627 4362918
101 1 162960 30962340
101 1 159748 30351976
103 1 426017 68247944
101 1 122350 23246418
101 1 276350 52506500
101 1 41273 7841759
101 1 62678 11908803
101 1 139922 26585190
121 1 9737 1840107
101 1 107904 20501650
101 1 114248 21707070
101 1 417393 79304656
7 1 3268 532610
101 1 203028 38575248
101 1 223475 42460140
101 1 8162 1550712
101 1 30968 5883817
101 1 144794 27510766
103 1 49113 7868010
101 1 224721 42696880
101 1 174062 33071628
101 1 167049 31739300
101 1 91259 17339094
7 1 7050 1149106
103 1 158297 25359200
101 1 112148 21308020
101 1 350134 66525468
101 1 203293 38625672
101 1 237445 45114560
101 1 58427 11101132
101 1 390977 74285608
103 1 197544 31646656
101 1 280353 53266932
101 1 84223 16002240
103 1 252861 40508368
6 1 4450 597741
101 1 290600 55213860
101 1 315925 60025632
101 1 62607 11895315
101 1 84707 16094226
101 1 316748 60181984
101 1 263916 50144024
101 1 416304 79097632
101 1 159903 30381600
101 1 19459 3697134
101 1 244038 46367092
101 1 44748 8502015
101 1 256125 48663720
101 1 138912 26393196
101 1 185513 35247380
101 1 3916 743943
101 1 337772 64176572
101 1 338298 64276484
101 1 98223 18662250
103 1 395856 63416072
101 1 293939 55848444
101 1 15081 2865262
101 1 105414 20028560
101 1 227139 43156416
101 1 233145 44297456
101 1 133366 25339414
9 1 3773 614969
101 1 34769 6605984
101 1 123940 23548452
101 1 192030 36485700
101 1 249723 47447240
101 1 204182 38794440
101 1 356361 67708560
7 1 2389 389370
101 1 147447 28014916
101 1 299749 56952176
101 1 46504 8835609
101 1 97921 18604890
101 1 340875 64766236
101 1 112114 21301670
101 1 67101 12749112
109 1 64302 10947279
101 1 136367 25909656
9 1 5244 854687
121 1 3526 700721
9 1 7663 1249073
101 1 291038 55297228
101 1 130154 24729100
102 1 645784 92131848
101 1 244025 46364712
101 1 380519 72298640
101 1 93041 17677828
101 1 74819 14215517
101 1 156259 29689056
101 1 230652 43823768
101 1 86478 16430818
101 1 249749 47452264
101 1 188090 35737116
101 1 403247 76616792
101 1 306107 58160336
103 1 109059 17471332
101 1 8225 1562734
7 1 5255 856569
101 1 154646 29382612
101 1 155996 29639138
101 1 5950 1130401
101 1 420404 79876632
101 1 57040 10837637
101 1 331185 62925016
101 1 369888 70278664
101 1 149489 28402924
101 1 91106 17310038
125 1 13148 1866974
101 1 416414 79118536
103 1 384538 61603024
101 1 80057 15210762
101 1 189270 35961228
101 1 398061 75631616
101 1 36997 7029332
101 1 17253 3277951
101 1 276477 52530580
101 1 68657 13044869
9 1 1060 172756
103 1 292812 46908456
101 1 418306 79478160
101 1 386879 73507056
101 1 69589 13221911
101 1 331621 63007872
101 1 211150 40118472
103 1 94879 15199613
109 1 4206 716046
101 1 390641 74221816
101 1 242547 46083780
101 1 369152 70138888
101 1 66914 12713487
103 1 13829 2215459
103 1 34333 5500218
101 1 253857 48232836
9 1 3889 633829
101 1 96488 18332688
101 1 5114 971568
101 1 342261 65029488
9 1 2878 469104
101 1 384287 73014528
101 1 129165 24541220
101 1 217751 41372648
101 1 129461 24597472
101 1 296897 56410476
101 1 348400 66195872
101 1 162885 30948034
101 1 249287 47364492
125 1 18197 2583888
103 1 489232 78374992
101 1 130792 24850398
101 1 338917 64394172
101 1 78167 14851608
101 1 31900 6060892
101 1 367029 69735448
101 1 171683 32619732
6 1 1043 140206
101 1 345877 65716572
101 1 308527 58620132
101 1 2513 477372
101 1 370808 70453440
101 1 170933 32477172
101 1 36130 6864607
101 1 13658 2594863
101 1 181372 34460572
9 1 6404 1043818
103 1 436469 69922448
101 1 281660 53515408
101 1 318023 60424340
101 1 344253 65408052
101 1 285921 54324952
101 1 169521 32208834
101 1 260171 49432432
101 1 285191 54186244
101 1 393827 74827112
101 1 205609 39065580
103 1 334394 53570072
103 1 373706 59867656
101 1 45440 8633478
101 1 327084 62145864
101 1 120806 22953004
103 1 365194 58504080
101 1 132941 25258814
101 1 210092 39917432
103 1 492808 78947808
101 1 145441 27633724
103 1 172576 27646686
101 1 113653 21594004
7 1 7690 1253429
103 1 113982 18259968
101 1 117684 22359880
103 1 249824 40021936
101 1 111144 21117310
6 1 1783 239405
101 1 304317 57820108
101 1 318885 60588080
101 1 245750 46692496
101 1 66611 12655998
7 1 458 74553
101 1 286784 54488876
101 1 252945 48059512
101 1 92519 17578572
101 1 361349 68656208
101 1 383265 72820248
101 1 272589 51791752
9 1 4736 772039
6 1 1148 154184
125 1 11295 1603886
101 1 103469 19659106
101 1 159251 30257668
101 1 172246 32726656
101 1 410875 78066152
101 1 376064 71452008
101 1 40877 7766650
101 1 48314 9179654
101 1 217536 41331728
101 1 162013 30782286
101 1 31186 5925259
101 1 107483 20421816
101 1 355801 67602024
101 1 152357 28947692
101 1 235717 44786200
101 1 287309 54588616
101 1 29708 5644388
101 1 193652 36793760
101 1 336730 63978680
101 1 334813 63614352
7 1 570 92853
101 1 363901 69141136
103 1 146116 23407674
101 1 286099 54358744
6 1 1277 171548
101 1 144983 27546784
101 1 416831 79197936
101 1 217075 41244168
101 1 74586 14171212
101 1 6971 1324456
101 1 139810 26563802
101 1 290827 55257128
101 1 329117 62532260
101 1 397656 75554544
125 1 27487 3903118
101 1 325381 61822212
101 1 282883 53747588
101 1 44248 8407112
7 1 1470 239530
101 1 5960 1132357
101 1 81237 15434981
125 1 25501 3621170
103 1 197357 31616652
101 1 215877 41016480
101 1 59651 11333645
123 1 5025 840931
101 1 341825 64946696
103 1 359242 57550508
101 1 142819 27135592
101 1 353496 67164184
101 1 136910 26012812
103 1 460593 73787088
9 1 4558 742815
101 1 252728 48018304
101 1 100405 19076832
101 1 273345 51935488
103 1 346049 55437064
101 1 152568 28987812
101 1 253726 48207900
101 1 84922 16135084
103 1 131648 21090088
101 1 204398 38835624
101 1 104099 19778752
101 1 216673 41167748
101 1 285711 54285056
101 1 338302 64277416
101 1 354568 67367784
101 1 53894 10239809
103 1 479802 76864224
101 1 309887 58878460
101 1 180913 34373324
101 1 139122 26433096
101 1 66989 12727903
101 1 80832 15358066
101 1 63741 12110713
101 1 4209 799732
103 1 140387 22489928
101 1 68406 12997037
101 1 73790 14020098
101 1 148388 28193572
101 1 208311 39579008
103 1 272556 43663340
6 1 2072 278360
9 1 4907 799833
7 1 2498 407111
101 1 290993 55288672
101 1 185887 35318448
101 1 363790 69119976
101 1 31236 5934840
101 1 131444 24974210
101 1 102007 19381230
101 1 210743 40041040
6 1 1426 191582
101 1 73405 13946956
101 1 24377 4631635
101 1 136284 25893956
101 1 233129 44294524
9 1 6412 1045156
101 1 100988 19187740
101 1 250983 47686784
101 1 68482 13011436
101 1 393556 74775480
7 1 2665 434362
123 1 1052 175953
101 1 390059 74111168
6 1 8224 1104652
101 1 310079 58914948
101 1 331748 63032124
102 1 491015 70051448
101 1 68942 13098914
101 1 335375 63721232
101 1 20057 3810862
101 1 93386 17743268
101 1 145342 27614828
101 1 65266 12400560
101 1 322892 61349468
101 1 355649 67573272
101 1 167941 31908614
101 1 147742 28070828
101 1 4555 865284
125 1 17419 2473504
101 1 370170 70332288
101 1 317529 60330392
9 1 783 127604
101 1 345767 65695608
101 1 200155 38029440
101 1 366381 69612288
101 1 18134 3445363
6 1 340 45624
103 1 365934 58622752
125 1 15224 2161783
7 1 8462 1379324
101 1 172403 32756524
9 1 8393 1368123
101 1 409555 77815328
7 1 8307 1353984
6 1 9160 1230500
101 1 207554 39435132
109 1 49813 8480626
101 1 419666 79736552
101 1 75381 14322277
101 1 279674 53137968
101 1 394639 74981336
101 1 323009 61371560
101 1 381268 72440960
101 1 194606 36975064
101 1 337645 64152412
101 1 15755 2993391
101 1 168709 32054528
101 1 216943 41219008
101 1 383610 72885840
101 1 314036 59666736
101 1 51490 9783005
101 1 250165 47531196
9 1 2080 338890
101 1 146800 27891872
101 1 345584 65660848
101 1 402659 76505240
101 1 1054 200223
101 1 308219 58561644
103 1 260436 41721696
101 1 191605 36404808
101 1 161973 30774748
101 1 314627 59779076
103 1 398663 63865848
101 1 200185 38035080
101 1 60917 11574100
123 1 480 80286
101 1 27006 5131130
101 1 282628 53699288
101 1 310496 58994192
101 1 181852 34551904
101 1 168464 32008144
101 1 245785 46698980
101 1 415902 79021264
101 1 136618 25957364
101 1 100426 19080820
101 1 321272 61041528
101 1 257113 48851312
101 1 195772 37196596
101 1 79549 15114180
101 1 290426 55180852
101 1 343732 65308964
101 1 338820 64375740
101 1 18247 3466841
103 1 101873 16320014
101 1 160188 30435708
6 1 3901 524013
101 1 134059 25471164
101 1 21441 4073662
101 1 77209 14669523
103 1 321792 51551064
101 1 203867 38734648
101 1 263888 50138668
109 1 58497 9959142
101 1 109763 20854852
125 1 19140 2717850
125 1 11130 1580452
101 1 383760 72914312
103 1 28616 4584319
101 1 379807 72163232
101 1 376549 71544256
125 1 17561 2493622
101 1 362622 68898112
101 1 187375 35601216
101 1 112546 21383616
101 1 29218 5551452
125 1 6221 883407
9 1 772 125809
101 1 382102 72599288
101 1 51529 9790417
101 1 306866 58304424
101 1 287007 54531320
101 1 93516 17767980
101 1 3151 598683
101 1 43783 8318608
101 1 389081 73925344
101 1 63832 12128039
101 1 289053 54919936
101 1 126415 24018736
6 1 4549 611135
101 1 120198 22837508
101 1 199776 37957392
103 1 106432 17050388
101 1 112587 21391432
7 1 9188 1497532
9 1 5291 862404
101 1 247935 47107596
101 1 302288 57434740
101 1 405581 77060304
101 1 59697 11342288
101 1 316072 60053660
101 1 53900 10241009
101 1 307089 58346908
101 1 326911 62112932
103 1 129362 20723866
101 1 413801 78622072
9 1 2882 469718
101 1 48507 9216260
101 1 389911 74082984
101 1 212800 40431920
101 1 233045 44278592
101 1 136490 25932928
101 1 155636 29570684
101 1 393925 74845672
7 1 1372 223612
101 1 379168 72041792
101 1 310844 59060316
101 1 113251 21517596
101 1 274519 52158556
101 1 15469 2939102
102 1 883184 126000952
101 1 336780 63988072
101 1 128730 24458668
101 1 197127 37454008
125 1 20937 2973071
101 1 318609 60535620
101 1 202813 38534288
101 1 302104 57399628
101 1 375135 71275616
101 1 104988 19947582
101 1 387881 73697416
101 1 345632 65670004
101 1 41234 7834338
101 1 360639 68521384
101 1 213573 40578756
121 1 6091 1151089
101 1 185840 35309616
101 1 371295 70546000
101 1 334729 63598404
101 1 337839 64189304
101 1 68957 13101682
101 1 113792 21620496
101 1 171036 32496768
101 1 333933 63447272
101 1 147947 28109940
103 1 67086 10747089
101 1 343073 65183836
101 1 256310 48698812
6 1 10914 1466112
9 1 2477 403709
101 1 219509 41706568
101 1 94910 18032764
103 1 263502 42212976
101 1 299188 56845644
101 1 89003 16910444
101 1 414924 78835448
101 1 201515 38287812
101 1 147131 27954920
101 1 343433 65252160
101 1 182402 34656396
101 1 402125 76403720
101 1 277379 52701908
101 1 80238 15245189
101 1 179572 34118648
101 1 202112 38401296
121 1 3311 625718
101 1 355300 67506864
101 1 93413 17748418
103 1 397238 63637560
101 1 75407 14327272
101 1 108782 20668484
101 1 190043 36108080
101 1 245983 46736740
101 1 50867 9664751
101 1 9347 1775850
6 1 6040 811339
101 1 387032 73535904
101 1 138597 26333380
101 1 303605 57684984
101 1 170977 32485556
101 1 29728 5648336
101 1 109112 20731192
101 1 349203 66348440
101 1 396466 75328448
101 1 157200 29867936
125 1 9326 1324239
101 1 20326 3861951
101 1 4701 893032
101 1 254035 48266632
101 1 178966 34003576
101 1 411515 78187824
101 1 104495 19854034
7 1 6261 1020494
101 1 159871 30375304
101 1 329261 62559536
101 1 190907 36272304
101 1 230630 43819624
101 1 337632 64150024
103 1 309288 49548020
103 1 237438 38037640
101 1 225717 42886200
101 1 115430 21931632
101 1 75977 14435655
101 1 298509 56716716
9 1 2651 432055
101 1 104453 19846040
7 1 534 86958
103 1 53138 8512675
101 1 117808 22383508
101 1 109959 20892156
101 1 43342 8234925
101 1 16166 3071514
101 1 301097 57208372
101 1 184445 35044552
103 1 396992 63598120
101 1 18997 3609299
101 1 107718 20466350
101 1 306702 58273300
101 1 87021 16534008
101 1 173860 33033244
101 1 251224 47732588
101 1 366569 69648128
101 1 257185 48865144
101 1 164993 31348656
101 1 402729 76518384
101 1 46251 8787642
101 1 212031 40285792
101 1 158928 30196228
101 1 115364 21919004
101 1 104983 19946770
101 1 309729 58848492
101 1 53072 10083541
7 1 7631 1243836
101 1 40786 7749364
101 1 330350 62766432
101 1 355705 67583784
101 1 170159 32330256
101 1 294280 55913168
101 1 399625 75928632
6 1 9230 1239992
9 1 5534 902073
121 1 932 176073
101 1 265102 50369324
103 1 377058 60404704
101 1 101468 19278892
101 1 414742 78800864
101 1 331665 63016296
101 1 166529 31640472
101 1 356831 67797888
101 1 394725 74997680
101 1 123728 23508256
101 1 352758 67023928
101 1 245219 46591636
101 1 88152 16748746
101 1 192961 36662424
101 1 95252 18097786
7 1 2878 469125
101 1 29500 5604887
101 1 88369 16790108
101 1 12336 2343823
101 1 344455 65446348
9 1 7991 1302408
101 1 288012 54722220
101 1 315480 59941184
101 1 351918 66864296
101 1 185491 35243216
101 1 366567 69647592
101 1 28 5253
102 1 70126 10004551
6 1 9664 1298076
101 1 386615 73456864
101 1 226096 42958176
101 1 269577 51219548
101 1 114583 21770584
125 1 27950 3968850
101 1 23186 4405237
101 1 32933 6257166
101 1 163386 31043272
101 1 389332 73973024
103 1 434716 69641376
101 1 136498 25934488
101 1 297680 56559180
101 1 214324 40721524
102 1 1010266 144131248
101 1 107898 20500568
103 1 314007 50303820
101 1 167295 31786004
9 1 6977 1137146
9 1 4978 811321
103 1 436574 69939240
103 1 487073 78029088
101 1 141013 26792316
101 1 211296 40146112
101 1 178080 33835152
101 1 96493 18333534
101 1 327239 62175460
101 1 361823 68746376
101 1 363467 69058728
101 1 46977 8925568
101 1 148820 28275816
101 1 206306 39198008
101 1 399618 75927288
101 1 359563 68316888
101 1 198596 37733096
101 1 354694 67391768
101 1 272600 51793884
7 1 1222 199173
125 1 14905 2116389
101 1 124174 23593080
101 1 379476 72100392
101 1 122249 23227214
101 1 124968 23743828
103 1 373223 59790316
103 1 115136 18444632
101 1 101394 19264848
101 1 178037 33826984
101 1 104281 19813290
103 1 270117 43272700
121 1 2916 579256
103 1 460397 73755488
121 1 6424 1214011
101 1 293611 55786068
103 1 307066 49191864
101 1 383898 72940552
101 1 189874 36075916
101 1 230854 43862192
101 1 215033 40856204
103 1 32752 5246946
103 1 4164 667100
101 1 31123 5913334
101 1 175865 33414284
101 1 281899 53560732
101 1 388550 73824488
101 1 413808 78623392
101 1 272605 51794792
101 1 355146 67477656
101 1 269825 51266656
101 1 38990 7407973
6 1 7135 958527
101 1 104079 19774952
101 1 271365 51559316
101 1 379558 72116024
9 1 8347 1360530
101 1 295321 56110856
7 1 357 58116
9 1 4507 734653
101 1 249608 47425452
101 1 46288 8794753
101 1 280459 53287176
101 1 30316 5759977
101 1 49429 9391390
101 1 233128 44294292
121 1 2909 577865
101 1 405525 77049632
