mc run lumi evt
111 1 3920 692569
101 1 116429 22121466
14 1 5903 847044
125 1 13705 1946075
101 1 81741 15530637
12 1 11699 1403769
104 1 11071 2047988
107 1 366857 58207864
101 1 400539 76102360
125 1 13649 1903910
12 1 9655 1158505
101 1 129275 24562280
105 1 65126 10354987
102 1 295276 42125904
101 1 201804 38342720
108 1 97933 38340684
13 1 8428 1165928
101 1 174230 33103656
101 1 387656 73654624
101 1 412785 78429112
107 1 156839 24885130
101 1 2004 380691
101 1 138392 26294308
105 1 77682 12196051
102 1 742033 105863352
127 1 32 6217
101 1 265599 50463804
12 1 11855 1422590
101 1 138180 26254098
101 1 253714 48205596
125 1 18520 2583466
105 1 170981 26843902
125 1 15898 2217727
108 1 21145 8277943
101 1 184151 34988604
125 1 25814 3601053
108 1 298595 116899880
13 1 6700 926739
101 1 94359 17928202
125 1 6381 890208
125 1 20183 2815578
12 1 7573 908820
125 1 10585 1476620
125 1 10351 1443840
12 1 7149 857892
101 1 350360 66568280
127 1 1067 210787
101 1 63827 12127058
107 1 195670 31046196
101 1 348658 66245000
125 1 6789 946970
101 1 190271 36151364
13 1 9815 1357849
127 1 358 70680
101 1 293931 55846776
101 1 382544 72683352
101 1 403807 76723200
125 1 24451 3410803
111 1 19294 3408593
106 1 150607 26255800
125 1 13376 1865936
11 1 6550 903876
101 1 387422 73610064
101 1 394356 74927608
106 1 128295 21777994
108 1 243731 95420400
101 1 975 185158
101 1 357899 68000792
125 1 19954 2783563
11 1 7148 986457
104 1 22520 4166088
14 1 5507 790230
108 1 132738 51966808
13 1 298 41260
101 1 7707 1464189
13 1 5018 694217
101 1 110797 21051296
12 1 1031 123693
14 1 304 43608
101 1 368889 70088768
106 1 85748 14555709
127 1 267 52683
12 1 2547 305588
101 1 331451 62975688
125 1 18993 2649502
101 1 248283 47173760
125 1 24076 3358557
101 1 252038 47887152
107 1 138900 22038752
125 1 18729 2612661
125 1 13374 1865619
101 1 286720 54476804
125 1 25089 3499973
108 1 181123 70909384
125 1 8897 1241063
125 1 13329 1859281
101 1 144643 27482094
12 1 4785 574178
125 1 1458 203317
101 1 365 69341
12 1 4299 515803
104 1 41259 7632858
12 1 5547 665571
108 1 6112 2392677
101 1 299132 56835084
12 1 4587 550385
101 1 399893 75979560
125 1 15199 2120197
101 1 33409 6347611
127 1 192 37887
105 1 191067 29997456
105 1 101922 16205591
101 1 176002 33440284
101 1 305359 58018088
111 1 24771 4376178
11 1 6893 951233
125 1 12704 1772145
101 1 416 79011
107 1 126298 20039320
101 1 127466 24218422
101 1 157946 30009672
127 1 1103 217906
125 1 22590 3207750
106 1 12308 2145729
121 1 3105 616962
111 1 32605 5064498
12 1 3817 458019
111 1 29400 4566755
14 1 8651 1241399
125 1 12982 1810981
13 1 1340 185424
101 1 351676 66818308
107 1 339820 53918128
125 1 26228 3658758
106 1 136592 23812474
101 1 369775 70257168
107 1 213597 33890660
101 1 151613 28806332
101 1 237125 45053608
105 1 159249 25002000
123 1 12929 4007922
111 1 37943 6703133
101 1 316608 60155384
101 1 191864 36454164
125 1 12123 1691213
101 1 142957 27161642
101 1 381239 72435344
101 1 373237 70914960
101 1 420213 79840464
127 1 545 107760
123 1 11873 3680546
127 1 493 97459
127 1 865 170922
101 1 88953 16900920
101 1 144293 27415604
101 1 245408 46627440
101 1 189553 36014976
121 1 1365 271227
125 1 25135 3506261
101 1 71381 13562328
107 1 47468 7531569
101 1 164169 31192060
105 1 134109 21323260
101 1 345320 65610684
101 1 234280 44513080
125 1 22100 3082918
101 1 66116 12561863
101 1 342449 65065344
111 1 8417 1307452
101 1 149069 28323152
101 1 132078 25094740
12 1 1043 125138
111 1 26608 4132994
108 1 59307 23218488
101 1 122611 23295984
101 1 257840 48989480
125 1 11480 1601459
125 1 23321 3253151
105 1 1419 225603
101 1 289237 54955024
125 1 13156 1835243
125 1 1181 164718
125 1 26495 3695947
127 1 720 142191
101 1 206846 39300676
101 1 407510 77426776
13 1 3109 429965
121 1 3701 735330
111 1 17489 2716646
101 1 27193 5166528
101 1 173133 32895192
101 1 355990 67637952
101 1 136614 25956652
125 1 865 120707
127 1 426 84089
101 1 226341 43004660
14 1 4461 640199
13 1 5327 736877
125 1 11068 1543956
101 1 225052 42759816
111 1 18335 3239032
107 1 61808 9806798
111 1 11447 1777996
125 1 21893 3054115
127 1 864 170794
11 1 3304 455928
101 1 90451 17185580
111 1 6158 1087901
101 1 287225 54572640
108 1 327417 128183416
125 1 26207 3655865
101 1 119091 22627246
125 1 17665 2464226
14 1 3449 494925
101 1 153938 29248080
101 1 227158 43159928
125 1 21631 3017474
101 1 87840 16689528
101 1 100569 19108018
101 1 181494 34483784
101 1 98574 18728964
12 1 7819 938344
101 1 175043 33258112
107 1 276412 43857356
101 1 192476 36570388
125 1 22143 3089005
13 1 8510 1177248
13 1 8485 1173657
101 1 395763 75194976
101 1 168565 32027164
106 1 98539 16726950
105 1 161875 25738108
101 1 315675 59978272
107 1 102822 16314369
101 1 27589 5241889
102 1 70859 10109230
104 1 98691 18257768
13 1 8714 1205427
101 1 254920 48434828
108 1 289728 113428392
121 1 8639 1632693
12 1 11784 1414056
107 1 205557 32615028
101 1 335296 63706088
101 1 31122 5913053
14 1 1456 208854
108 1 326632 127876240
101 1 96521 18339034
125 1 3151 439474
11 1 4699 648519
11 1 6460 891531
101 1 303980 57756044
12 1 4706 564717
101 1 366903 69711456
101 1 371763 70634968
12 1 12403 1488439
12 1 12367 1483992
14 1 499 71592
101 1 252182 47914480
101 1 127519 24228544
13 1 3074 425313
101 1 183108 34790400
101 1 376437 71522936
125 1 14591 2035498
13 1 2881 398482
125 1 6543 929149
101 1 390002 74100328
125 1 13802 1925301
125 1 24855 3467188
12 1 4008 480928
125 1 1323 187854
105 1 42400 6741612
13 1 175 24096
121 1 990 196707
105 1 66438 10430800
11 1 6845 944552
101 1 219778 41757720
101 1 379308 72068480
101 1 402049 76389232
101 1 78278 14872817
101 1 263572 50078696
12 1 6324 758847
125 1 1751 244294
101 1 216688 41170648
127 1 83 16284
101 1 231576 43999356
125 1 13685 1909075
125 1 3590 500754
108 1 43298 16951120
108 1 277493 108638544
101 1 353751 67212688
125 1 9919 1383655
101 1 175941 33428658
101 1 349398 66385492
12 1 4882 585825
101 1 76410 14517788
123 1 1874 580752
125 1 6462 901417
12 1 12143 1457146
101 1 214075 40674188
125 1 21501 3053187
125 1 9523 1328461
111 1 40889 6351409
125 1 5543 773140
101 1 295251 56097568
12 1 111 13308
101 1 152071 28893300
101 1 253858 48233048
101 1 389487 74002376
107 1 189160 30013392
108 1 308210 120664096
101 1 246961 46922500
101 1 351109 66710640
106 1 2453 427670
106 1 147239 24993728
125 1 26531 3701024
107 1 313910 49806964
125 1 12128 1691828
107 1 97392 15452789
101 1 342412 65058280
125 1 17983 2508522
101 1 159332 30273040
121 1 2861 568471
11 1 586 80739
101 1 394422 74940088
12 1 3947 473563
125 1 2197 306429
101 1 65614 12466621
101 1 179336 34073728
14 1 293 41985
127 1 234 46201
14 1 235 33711
12 1 6209 745116
107 1 49804 7902107
13 1 7507 1038528
127 1 432 85232
14 1 6999 1004269
101 1 174678 33188758
101 1 162109 30800688
125 1 1117 155694
101 1 255397 48525248
101 1 305519 58048608
101 1 372703 70813504
12 1 6017 721994
11 1 1 78
101 1 274151 52088664
123 1 15437 4785465
108 1 107104 41931080
101 1 139541 26512720
121 1 2929 581872
11 1 5581 770201
101 1 164589 31271872
125 1 9779 1364176
121 1 678 127978
12 1 2356 282697
13 1 6803 941195
12 1 2089 250587
101 1 323368 61439948
106 1 22616 3942637
