mc run lumi evt
6 1 688 92441
9 1 1138 185473
106 1 93123 15807639
101 1 164267 31210742
125 1 17856 2490857
111 1 37249 5785866
108 1 218365 85489616
106 1 4705 798567
108 1 279152 109288000
101 1 420563 79906888
125 1 5291 738066
101 1 38903 7391451
101 1 292664 55606140
111 1 24686 4361205
6 1 8834 1186634
7 1 2104 342797
101 1 149377 28381528
125 1 26298 3668543
9 1 272 44219
101 1 27224 5172410
101 1 380267 72250768
107 1 26306 4173921
101 1 2362 448666
104 1 159346 29479032
104 1 25463 4710676
125 1 11041 1540170
101 1 26606 5054994
108 1 273503 107076216
125 1 24693 3444630
125 1 25349 3536167
101 1 234277 44512460
101 1 140908 26772488
101 1 393983 74856632
101 1 183737 34910064
6 1 10981 1475112
123 1 5855 1814922
9 1 9094 1482207
101 1 263022 49974068
125 1 19000 2650483
7 1 6169 1005577
101 1 38191 7256212
101 1 228485 43412176
9 1 6476 1055643
101 1 214008 40661416
105 1 13697 2150450
7 1 2084 339584
106 1 151795 25767172
101 1 277166 52661488
101 1 64706 12294057
125 1 13165 1836433
125 1 11952 1667281
9 1 7087 1155107
105 1 94318 14996511
127 1 1106 218588
101 1 207058 39340876
125 1 27479 3833228
101 1 37483 7121700
125 1 8837 1232802
125 1 8763 1222305
101 1 142708 27114396
127 1 331 65370
101 1 65822 12506188
111 1 362251 69612624
7 1 4440 723662
107 1 1578 250348
6 1 223 29938
125 1 19468 2715724
107 1 60047 9527495
101 1 252962 48062796
6 1 3127 419954
101 1 197291 37485288
9 1 6357 1036119
108 1 231055 90458088
125 1 15537 2167454
101 1 305800 58101940
6 1 9551 1283052
121 1 2931 582257
9 1 8860 1444037
127 1 1193 235720
108 1 185113 72471576
101 1 295908 56222468
105 1 29170 4579608
101 1 181791 34540136
101 1 248866 47284384
105 1 29233 4647916
101 1 96290 18295068
125 1 24753 3453083
7 1 3598 586490
101 1 275977 52435588
108 1 81371 31856624
125 1 6765 943675
101 1 183731 34908856
125 1 19303 2692738
101 1 373221 70911888
7 1 2675 436029
6 1 6668 895681
101 1 351603 66804568
127 1 969 191549
125 1 27645 3856494
101 1 90450 17185500
107 1 82091 13025163
9 1 7438 1212338
101 1 250745 47641432
101 1 65085 12366019
125 1 8379 1168841
101 1 322955 61361488
125 1 10605 1479435
106 1 65411 11403243
125 1 16496 2301124
101 1 289104 54929732
127 1 46 8942
7 1 4341 707534
125 1 16121 2248795
101 1 366311 69599048
111 1 38546 6809769
6 1 4228 567912
101 1 233582 44380416
101 1 3455 656466
101 1 407189 77365800
101 1 299967 56993644
101 1 201180 38224092
7 1 6599 1075626
101 1 70312 13359166
125 1 7275 1014741
101 1 87538 16632193
101 1 277413 52708440
101 1 361762 68734760
108 1 233245 91315288
108 1 265531 103955408
101 1 371364 70559072
101 1 36873 7005714
9 1 8409 1370632
9 1 4265 695250
6 1 6143 825162
123 1 8578 2659154
101 1 12877 2446505
6 1 11146 1497277
101 1 319401 60686168
101 1 135932 25826940
101 1 403275 76622240
9 1 2265 369143
105 1 24342 3821676
6 1 3023 406194
9 1 5992 976682
101 1 286897 54510352
7 1 857 139703
101 1 178167 33851752
125 1 18219 2541493
101 1 225851 42911608
101 1 95642 18171964
125 1 4979 694607
111 1 31813 5620201
107 1 128170 20336200
6 1 10288 1381917
101 1 274739 52200336
6 1 4394 590246
6 1 8780 1179521
9 1 225 36616
9 1 8378 1365657
6 1 5060 679803
125 1 25780 3596305
101 1 73631 13989787
101 1 294280 55913168
127 1 962 190153
101 1 89136 16935784
