mc lep_category run lumi evt
107 1 1 35371 5612178
107 2 1 253286 40187960
107 1 1 272813 43286344
111 1 1 149367 28703472
13 1 1 4507 623514
111 1 1 467 72582
111 1 1 89915 17145252
111 1 1 11377 2009869
111 1 1 297795 57226168
107 1 1 9616 1525755
102 2 1 173789 24793884
102 2 1 254425 36298000
107 1 1 91393 14500994
102 2 1 416990 59490664
13 2 1 7598 1051151
105 1 1 174413 27731624
102 1 1 419473 59844672
102 2 1 24923 3555638
125 2 1 10844 1512662
123 1 1 10572 3277253
102 1 1 486798 69449840
102 1 1 609019 86886632
102 1 1 817490 116628592
105 2 1 180819 28750176
108 1 1 312863 122485800
102 1 1 810839 115679696
13 1 1 5002 691862
125 2 1 8497 1185206
125 2 1 10311 1438271
127 1 1 617 121865
13 1 1 5827 806117
13 1 1 4886 675824
102 1 1 208310 29718984
125 2 1 25055 3495056
102 1 1 876193 125003536
106 1 1 20628 3501603
13 2 1 5288 731445
13 1 1 6751 933931
125 1 1 10024 1398270
13 2 1 5524 764022
13 2 1 5113 707251
105 1 1 132841 20855992
125 2 1 8963 1250241
121 1 1 2044 406278
107 1 1 358955 56954256
123 2 1 8400 2603828
125 2 1 17284 2411106
13 2 1 8846 1223720
102 2 1 655922 93578152
111 2 1 13694 2127219
13 1 1 10668 1475733
111 2 1 35874 5572409
13 2 1 550 75984
13 1 1 1025 141874
111 2 1 46681 8901420
111 2 1 23605 3666538
13 2 1 7238 1001241
125 1 1 16339 2279269
13 2 1 6764 935699
108 1 1 294579 115327392
13 2 1 3308 457591
125 2 1 2768 386085
13 1 1 5224 722688
102 2 1 25414 3625677
111 1 1 297980 57261804
111 2 1 21209 3746894
111 1 1 31642 6080443
102 2 1 989683 141194736
13 1 1 37 5170
102 1 1 786976 112275120
102 1 1 465127 66358028
13 2 1 7354 1017319
13 1 1 8425 1165503
13 2 1 4055 560893
111 1 1 50577 9719117
102 1 1 161140 22989220
125 2 1 14319 1997420
13 1 1 6118 846332
105 1 1 14843 2360025
102 1 1 590444 84236784
108 1 1 186545 73032176
13 2 1 1535 212359
107 1 1 163746 25981012
107 2 1 86570 13735830
127 2 1 1143 225843
13 1 1 5986 828047
13 2 1 1204 166471
13 1 1 10379 1435696
102 1 1 996259 142132832
13 1 1 8821 1220174
13 1 1 4394 607930
106 2 1 94890 16542388
105 1 1 161086 25612576
105 1 1 152508 23943740
111 2 1 32738 5085353
102 2 1 117569 16773189
13 1 1 8819 1220023
102 2 1 1107116 157948560
102 1 1 482122 68782784
102 1 1 548834 78300360
13 2 1 8120 1123240
125 1 1 5303 752921
111 1 1 18071 3192544
125 2 1 26130 3645085
125 1 1 2726 380216
125 1 1 26697 3724145
125 2 1 10675 1489134
13 2 1 7277 1006758
107 1 1 92443 14667619
13 1 1 6028 833873
102 1 1 461533 65845268
105 1 1 147922 23519492
102 2 1 1017989 145233072
125 1 1 22806 3181370
125 1 1 24063 3356715
111 2 1 22141 3439248
13 2 1 2114 292408
111 2 1 330529 63516532
106 1 1 122417 20780124
111 2 1 26399 4100606
111 1 1 15928 2474065
125 1 1 23757 3373425
121 2 1 3411 677712
13 2 1 4333 599283
125 1 1 9963 1389877
108 2 1 243233 95225744
102 1 1 724586 103374264
13 2 1 3539 489553
125 2 1 5434 758026
13 1 1 1697 234709
107 1 1 207036 32849680
108 2 1 176159 68966400
13 1 1 9769 1351325
102 2 1 648107 92463312
105 1 1 15109 2371996
105 2 1 113111 17984544
102 2 1 119386 17032400
125 1 1 9033 1260013
111 1 1 112768 21503028
13 1 1 4333 599338
125 2 1 26509 3697886
125 1 1 5450 760237
13 2 1 5464 755863
102 1 1 1111990 158643840
125 2 1 25349 3536161
107 1 1 196963 31251316
111 1 1 279532 53716628
102 2 1 592169 84482792
102 2 1 23360 3332789
102 1 1 287384 41000080
106 1 1 73305 12779407
102 2 1 922637 131629648
125 1 1 16363 2282679
111 1 1 17037 3009823
111 2 1 222303 42719268
13 2 1 7198 995643
13 1 1 3572 494123
108 2 1 202001 79083528
13 2 1 10486 1450574
127 1 1 500 98752
111 1 1 64213 12339547
102 2 1 36050 5143141
102 1 1 514043 73336816
13 2 1 1360 188141
102 1 1 392159 55948120
102 1 1 783164 111731424
102 2 1 733048 104581384
111 2 1 61371 11702359
102 1 1 546359 77947200
101 1 1 185834 35308368
125 1 1 155 21641
108 1 1 312531 122355736
102 1 1 703333 100342096
111 2 1 30264 5346583
13 1 1 1090 150691
108 1 1 331745 129878128
108 1 1 102599 40167348
13 1 1 526 72720
127 1 1 404 79745
13 2 1 5362 741654
107 1 1 11897 1887632
105 1 1 181550 28503328
13 1 1 4447 615210
105 1 1 48669 7640881
111 1 1 117958 22492694
13 2 1 7079 979237
102 1 1 490132 69925512
101 2 1 398646 75742688
127 1 1 1175 232273
13 1 1 919 127179
123 1 1 854 142884
13 1 1 5678 785501
102 1 1 419351 59827388
105 1 1 104061 16337592
108 2 1 67785 26537664
13 2 1 9667 1337257
125 1 1 13749 1917871
102 2 1 440041 62779120
13 1 1 2515 347818
111 1 1 258536 49682044
111 2 1 35756 6316928
101 1 1 72389 13753920
102 1 1 199348 28440232
102 1 1 403061 57503320
111 1 1 6084 1160063
105 2 1 76397 12147058
13 1 1 7580 1048556
107 2 1 199946 31724700
102 2 1 377491 53855252
13 2 1 10202 1411227
125 2 1 15515 2164273
125 2 1 19665 2743210
105 2 1 185776 29538272
102 2 1 35180 5019112
13 1 1 703 97186
111 1 1 8847 1562910
102 1 1 482120 68782496
125 1 1 6817 951004
125 2 1 17593 2454197
102 1 1 852763 121660832
106 2 1 159459 27798970
123 1 1 6216 1040279
13 1 1 3622 500957
102 2 1 205270 29285180
105 2 1 37542 5894036
102 1 1 360091 51372948
127 2 1 911 180014
105 1 1 186473 29276272
125 2 1 9552 1332495
125 1 1 14031 1957239
13 1 1 6872 950603
13 2 1 10507 1453479
107 1 1 30356 4816396
102 1 1 643225 91766640
108 2 1 179492 70271080
13 1 1 5482 758294
125 1 1 16128 2249844
101 1 1 10529 2000538
102 2 1 1032199 147260272
108 1 1 224051 87715832
125 1 1 4782 667071
127 1 1 702 138667
