mc lep_category run lumi evt
108 1 1 278545 109050400
101 2 1 405292 77005480
102 2 1 60412 8618763
111 1 1 87972 16905254
3 2 1 2491 265293
1 2 1 4051 739154
1 2 1 231 42072
123 1 1 8363 2592235
2 2 1 9231 992370
2 2 1 891 95836
108 2 1 224253 87795144
107 2 1 165017 26182650
102 1 1 859922 122682160
5 2 1 5135 908912
2 1 1 3271 351642
111 1 1 75930 14591242
5 2 1 4307 762340
4 1 1 8291 1413518
108 2 1 14714 5760324
102 2 1 696652 99388912
4 1 1 226 38395
5 1 1 7404 1310377
4 2 1 7718 1315823
108 1 1 169011 66167944
102 2 1 600761 85708640
102 2 1 770005 109854016
102 2 1 455539 64990224
5 1 1 6202 1097716
104 2 1 124819 23091556
4 1 1 3809 649396
102 1 1 42032 5996649
107 1 1 208624 33101684
101 2 1 130531 24800840
102 1 1 882289 125873088
125 2 1 4543 633779
111 2 1 20822 3678468
2 2 1 13339 1433843
102 1 1 722833 103124176
4 1 1 6535 1114126
4 1 1 7797 1329376
127 1 1 973 192301
125 1 1 27981 3903316
3 2 1 13629 1451553
3 1 1 1055 112284
5 2 1 175 30861
3 2 1 69 7354
101 1 1 250561 47606472
5 1 1 37 6381
2 1 1 8857 952166
106 2 1 152870 26650244
5 1 1 4942 874617
102 1 1 1104034 157508848
2 2 1 13635 1465731
3 1 1 13449 1432223
3 1 1 7403 788350
5 2 1 2618 463378
3 2 1 4489 478118
104 1 1 33377 6174726
125 1 1 15390 2146892
1 2 1 5422 989370
1 2 1 1673 305276
102 1 1 382186 54525212
102 1 1 1043455 148866112
102 1 1 1105370 157699472
4 2 1 1345 229182
4 1 1 6284 1071326
102 1 1 252593 36036528
107 2 1 359905 57104868
1 1 1 325 59254
125 1 1 6315 880977
106 2 1 113299 19751754
4 1 1 6142 1047165
5 1 1 4491 794874
102 1 1 623343 88930264
111 2 1 2839 541385
3 2 1 3361 357978
3 1 1 6125 652236
107 1 1 326704 51836896
5 2 1 7795 1379626
3 2 1 5587 594946
102 1 1 489604 69850144
107 2 1 210392 33382100
4 1 1 7183 1224595
107 2 1 349634 55475160
111 1 1 44366 6891423
105 2 1 40462 6352570
3 1 1 6079 647489
2 2 1 3861 415131
5 2 1 2014 356431
5 1 1 3184 563490
105 2 1 121957 19147216
5 2 1 3530 624684
2 1 1 6623 712053
102 1 1 432428 61693048
3 1 1 4719 502627
2 1 1 11879 1276992
3 2 1 11939 1271452
5 2 1 5398 955375
5 1 1 5615 993722
104 1 1 58824 10882366
102 1 1 866395 123605672
2 1 1 958 102980
5 1 1 7924 1402477
102 2 1 586550 83681072
2 1 1 11037 1186383
1 2 1 6132 1119090
5 1 1 6798 1203206
5 1 1 6527 1155249
106 2 1 59947 10175901
1 1 1 8216 1499344
1 1 1 5923 1080889
127 1 1 725 143207
111 1 1 18476 3522987
105 1 1 58841 9355737
1 1 1 7968 1454105
111 2 1 8164 1268046
111 2 1 75410 14379482
102 1 1 640526 91381808
4 1 1 821 139936
4 1 1 2743 467580
3 1 1 9783 1041971
3 1 1 13047 1389453
5 1 1 5248 928819
125 1 1 13875 1935425
125 1 1 9235 1288313
5 2 1 5249 928943
108 1 1 232299 90944912
5 2 1 6108 1081094
111 1 1 164011 31517556
4 2 1 2753 469237
1 1 1 5210 950805
2 1 1 11611 1248112
3 1 1 13583 1446521
106 1 1 19870 3372889
102 1 1 1100098 156947216
101 2 1 176233 33484228
111 1 1 15972 2821712
3 2 1 11337 1207426
127 1 1 388 76618
102 1 1 280907 40075984
102 2 1 463972 66193208
102 1 1 362841 51765300
104 2 1 3398 628544
121 2 1 2580 512768
2 1 1 8943 961417
111 2 1 307938 59175408
3 2 1 3257 346953
105 1 1 22046 3461178
102 2 1 255499 36451120
2 1 1 11015 1184076
5 2 1 1212 214497
104 1 1 105231 19467624
5 2 1 4007 709129
4 1 1 2727 464982
111 2 1 102382 19522556
1 1 1 4663 850844
3 1 1 12045 1282767
3 2 1 4429 471737
3 2 1 6369 678284
111 1 1 57811 11023670
125 2 1 27330 3812481
111 2 1 281848 54161824
102 2 1 1011325 144282384
111 2 1 16426 2901922
4 1 1 7106 1211505
101 1 1 159365 30279356
125 1 1 24725 3510855
102 1 1 185471 26460604
1 1 1 3674 670493
