mc lep_category run lumi evt
9 2 1 4016 654602
9 2 1 3790 617667
123 2 1 6312 1056298
125 1 1 1117 155881
106 2 1 120728 21046938
102 2 1 755968 107851376
123 1 1 996 308749
6 1 1 6452 866699
102 1 1 319299 45553304
6 2 1 3959 531852
101 1 1 168316 31979980
7 1 1 610 99307
125 2 1 17469 2436819
102 2 1 249727 35627620
107 1 1 363393 57658328
107 1 1 279769 44390036
7 2 1 6227 1015005
125 2 1 1949 271921
102 2 1 657073 93742376
125 2 1 16687 2327725
102 1 1 637711 90980048
9 2 1 8275 1348742
9 1 1 3698 602682
102 1 1 95488 13622881
102 2 1 975506 139172256
125 2 1 262 36486
106 1 1 164720 28716088
125 2 1 14645 2043019
6 1 1 3646 489666
6 1 1 893 120067
127 1 1 72 14238
125 1 1 5343 745329
9 1 1 5138 837387
6 1 1 1693 227309
9 2 1 7397 1205703
105 2 1 174619 27764376
101 1 1 106425 20220748
9 1 1 3168 516307
111 2 1 973 171747
125 1 1 13021 1816490
108 2 1 236422 92559024
6 1 1 4952 665310
7 1 1 2934 478213
6 1 1 5546 745102
106 1 1 16351 2775589
123 1 1 5639 943681
9 1 1 6704 1092740
127 1 1 1137 224726
121 1 1 1994 396291
9 2 1 6062 988166
102 2 1 764603 109083416
7 2 1 1800 293319
104 1 1 76295 14114489
106 2 1 89483 15189688
102 2 1 971323 138575440
7 1 1 4283 698140
104 1 1 117300 21700408
105 2 1 130646 20772742
102 1 1 228826 32645732
7 2 1 5987 975767
7 1 1 7183 1170667
7 1 1 8006 1304864
106 2 1 28803 4889204
105 1 1 176765 27752084
6 1 1 10360 1391627
7 1 1 6330 1031730
102 1 1 1008911 143937920
9 2 1 2636 429640
6 1 1 8545 1147931
108 2 1 124582 48773660
107 1 1 128841 20442732
7 2 1 5041 821541
6 2 1 5153 692204
102 2 1 276858 39498384
102 1 1 603759 86136264
102 2 1 811768 115812272
125 1 1 10273 1432983
7 2 1 3940 642139
127 2 1 253 49964
102 2 1 799286 114031504
102 1 1 224416 32016556
111 2 1 41616 6464337
6 1 1 10544 1416347
102 2 1 636013 90737872
127 2 1 273 53902
6 1 1 3145 422405
7 1 1 3925 639735
9 1 1 4039 658208
125 1 1 22992 3207320
9 1 1 1839 299687
111 1 1 206747 39423288
106 1 1 135241 23576884
125 2 1 15241 2126072
7 1 1 1004 163570
102 1 1 895268 127725000
9 2 1 3491 569099
108 1 1 184821 72357424
108 1 1 254253 99540072
9 2 1 3831 624367
111 1 1 7843 1385551
102 1 1 542594 77410016
107 2 1 259013 41096628
125 2 1 18835 2627394
7 2 1 5141 838024
125 1 1 14850 2071502
106 1 1 107797 18298508
9 1 1 8153 1328817
125 1 1 19799 2761982
9 1 1 5620 916007
125 2 1 16996 2370914
125 2 1 12493 1742758
125 1 1 6951 969532
102 1 1 347651 49598184
111 1 1 353327 67897744
104 1 1 27190 5030068
6 1 1 755 101421
6 1 1 1982 266215
7 2 1 6320 1030052
9 2 1 356 57969
105 1 1 23205 3643169
123 1 1 7839 2430065
121 1 1 1253 248967
102 1 1 763195 108882424
104 1 1 125980 23306200
125 2 1 25871 3608921
9 1 1 2262 368656
9 1 1 2945 480032
105 2 1 144668 23002208
7 1 1 6994 1140054
108 2 1 60149 23548334
102 2 1 52804 7533237
104 1 1 69658 12886663
6 2 1 1168 156963
9 2 1 2264 368939
105 2 1 83325 13081929
111 2 1 208598 40085680
125 1 1 10647 1485291
9 2 1 5215 849982
9 2 1 2182 355622
9 2 1 3988 650027
7 1 1 5927 966046
6 2 1 8356 1122361
102 2 1 572731 81709600
6 2 1 407 54751
111 1 1 6472 1143338
125 2 1 16551 2308815
7 1 1 6181 1007485
102 1 1 1000630 142756464
9 1 1 4802 782746
6 2 1 2902 389844
6 1 1 7406 994904
7 2 1 7344 1197044
102 2 1 376268 53680916
104 1 1 46299 8565274
9 2 1 3775 615288
9 2 1 7450 1214228
108 1 1 129219 50589136
6 2 1 1282 172268
9 1 1 6683 1089269
7 2 1 5786 943148
7 2 1 2377 387447
125 2 1 4646 648046
102 2 1 101971 14547892
9 1 1 7424 1210005
6 2 1 3704 497546
9 1 1 6955 1133658
121 1 1 2515 499629
7 1 1 9139 1489511
108 1 1 263175 103032752
7 1 1 8721 1421518
102 2 1 100981 14406654
102 1 1 702113 100168232
108 1 1 205683 80524704
7 1 1 6237 1016628
125 1 1 27435 3827190
9 2 1 7196 1172979
106 2 1 140373 23828298
9 2 1 350 56993
102 1 1 66656 9509698
9 1 1 8477 1381670
102 2 1 699104 99738944
9 2 1 4130 673207
7 1 1 3831 624417
9 1 1 2171 353783
102 1 1 1061801 151483632
105 1 1 25277 3968479
6 1 1 5320 714628
102 2 1 914531 130473048
102 1 1 530449 75677384
102 1 1 482858 68887680
105 1 1 107593 16892072
9 1 1 1867 304225
6 1 1 4055 544674
102 2 1 372134 53091204
125 1 1 18 2510
111 1 1 30224 4694790
111 2 1 13403 2555786
6 2 1 7913 1063040
104 2 1 131557 24338060
125 1 1 5643 787254
9 1 1 6329 1031503
125 2 1 19501 2720390
111 1 1 11906 2103378
125 1 1 5151 731414
127 2 1 311 61301
102 1 1 357752 51039248
125 2 1 18159 2533156
9 1 1 7504 1223043
9 1 1 1604 261469
6 1 1 8275 1111503
6 1 1 1784 239776
7 1 1 500 81466
9 1 1 7462 1216254
7 2 1 7897 1287156
102 1 1 1115838 159192864
9 2 1 2730 444988
7 1 1 2813 458504
9 1 1 7280 1186661
7 1 1 8171 1331796
102 1 1 413242 58955832
125 1 1 9301 1297412
108 1 1 155331 60812088
125 2 1 15015 2094611
9 2 1 6130 999128
9 1 1 5976 974022
7 2 1 3815 621898
102 2 1 735370 104912752
9 1 1 5973 973588
9 1 1 224 36534
101 2 1 231232 43934012
6 1 1 6520 875820
9 2 1 392 63775
9 1 1 8767 1428968
9 1 1 3495 569612
7 1 1 3032 494138
125 1 1 20262 2826522
125 2 1 14771 2060453
127 1 1 809 159789
102 2 1 165731 23644328
9 1 1 859 140049
105 1 1 135495 21543634
125 1 1 1933 269516
9 1 1 4653 758353
9 1 1 6613 1077798
7 1 1 4279 697394
105 2 1 152662 23967948
125 1 1 18705 2609268
7 1 1 7872 1283120
6 2 1 946 127046
125 2 1 11987 1672238
107 1 1 368374 58448568
6 1 1 4544 610345
125 2 1 4525 631268
102 1 1 568771 81144632
6 2 1 3592 482530
121 2 1 1963 390078
102 1 1 560372 79946432
106 2 1 99750 17389670
7 2 1 3367 548836
125 1 1 16445 2294138
9 1 1 2898 472343
102 2 1 377642 53876928
7 1 1 7116 1159861
7 1 1 1224 199433
105 1 1 145864 23192252
9 1 1 6151 1002620
7 1 1 7133 1162576
125 1 1 433 60307
102 1 1 766673 109378640
7 2 1 3098 504977
107 1 1 157165 24936756
7 2 1 7619 1241930
7 2 1 6891 1123211
125 1 1 2117 295190
125 2 1 6160 859253
9 1 1 6992 1139669
102 2 1 1004552 143316080
102 1 1 292634 41749124
9 1 1 725 118171
102 1 1 293164 41824676
105 2 1 19763 3102829
7 2 1 4609 751158
111 2 1 311699 59898192
111 1 1 155878 29723440
125 2 1 16551 2308746
107 1 1 35984 5709411
9 1 1 2033 331429
6 2 1 3580 480803
9 1 1 2405 392047
125 2 1 4536 632700
108 2 1 184741 72325928
6 2 1 5948 799129
6 2 1 1760 236495
7 1 1 7300 1189822
101 1 1 105437 20032900
6 1 1 6862 921760
125 1 1 19655 2741860
9 1 1 8903 1451204
102 2 1 161054 22976960
6 1 1 9649 1296097
6 1 1 5030 675661
7 1 1 6419 1046193
6 1 1 2314 310766
125 2 1 13880 1936235
6 2 1 2028 272427
7 1 1 4908 799933
125 1 1 9489 1323701
104 2 1 123775 22898316
9 2 1 6784 1105752
102 1 1 329515 47010684
7 1 1 8323 1356548
6 1 1 1981 266135
111 1 1 39596 6150472
