mc lep_category run lumi evt
105 5 1 70429 11057361
108 5 1 336912 131900856
125 4 1 12842 1791440
105 4 1 86624 13599954
104 5 1 40050 7409268
101 3 1 5456 1036468
101 5 1 154982 29446528
125 5 1 25669 3580776
107 5 1 316336 50191896
108 5 1 255413 99994008
125 5 1 6559 931327
125 5 1 26475 3693286
14 5 1 4139 593985
105 5 1 164751 26195348
125 4 1 2282 318314
14 5 1 667 95761
101 5 1 163474 31060054
101 5 1 111977 21275546
127 3 1 969 191552
107 4 1 21017 3334674
101 3 1 260681 49529388
101 4 1 176588 33551652
101 5 1 313537 59571864
107 4 1 377182 59846104
106 5 1 81816 13888239
125 3 1 19742 2753966
125 3 1 10435 1455584
101 3 1 374774 71206976
125 5 1 19939 2781356
125 5 1 20883 2913085
111 5 1 24308 3775793
127 4 1 526 103829
105 5 1 17854 2803125
101 5 1 60609 11515682
106 5 1 150427 25535052
101 5 1 47313 8989352
101 4 1 51176 9723298
127 3 1 1167 230729
101 4 1 26978 5125776
111 5 1 3126 552218
101 5 1 132122 25103174
101 3 1 51749 9832162
108 5 1 36538 14304608
101 3 1 349556 66415608
125 5 1 19211 2679943
101 5 1 157361 29898614
104 5 1 30402 5624288
101 5 1 223539 42472380
101 4 1 310777 59047456
105 5 1 47967 7530777
106 5 1 165397 28834072
125 5 1 26833 3743094
108 3 1 212631 83244832
125 3 1 15675 2186619
125 5 1 21958 3118011
125 3 1 23319 3252890
125 3 1 8225 1147313
111 5 1 30839 5448270
125 5 1 15413 2150075
111 4 1 3455 610281
105 5 1 159334 25334128
106 3 1 35385 6006614
111 3 1 40462 6284960
101 5 1 280741 53340740
101 5 1 303134 57595364
125 3 1 20963 2924264
125 3 1 14466 2017979
125 3 1 11045 1540833
125 3 1 21386 2983287
107 3 1 156258 24792874
101 4 1 168565 32027164
125 5 1 9856 1374834
101 5 1 332443 63164136
101 5 1 56555 10745454
101 5 1 318455 60506304
108 4 1 278548 109051400
104 4 1 61261 11333283
101 4 1 376516 71538056
111 3 1 17594 3108172
101 4 1 341589 64901928
101 4 1 81002 15390242
111 5 1 34987 6180908
111 5 1 8149 1439494
101 5 1 127798 24281584
106 5 1 41975 7125191
125 4 1 10273 1432994
108 4 1 250536 98084672
101 4 1 239309 45468756
101 5 1 383728 72908232
107 5 1 89407 14185940
101 5 1 97581 18540312
101 3 1 230763 43844864
107 5 1 214862 34091484
125 5 1 3852 537316
107 5 1 195553 31027688
14 3 1 1589 227989
101 3 1 417146 79257712
101 3 1 284008 53961364
101 3 1 290702 55233388
14 5 1 6493 931790
101 5 1 276733 52579264
107 5 1 219217 34782456
108 4 1 86783 33975520
101 5 1 283217 53811104
101 5 1 331223 62932284
101 5 1 243062 46181696
125 4 1 7825 1091645
101 4 1 206354 39207144
104 5 1 74097 13707802
127 3 1 176 34680
101 4 1 415650 78973432
101 5 1 387310 73588824
101 3 1 185173 35182784
125 5 1 23835 3324851
101 5 1 300257 57048808
127 5 1 958 189340
101 3 1 381735 72529584
101 3 1 403453 76656080
102 5 1 690616 98527912
125 5 1 562 78399
125 5 1 2795 389923
101 5 1 382944 72759296
108 5 1 306725 120082672
125 3 1 15181 2117722
101 4 1 88351 16786582
101 5 1 11291 2145230
125 5 1 27942 3897901
111 5 1 274952 52836504
101 4 1 55877 10616518
101 5 1 363375 69041088
14 5 1 7649 1097624
105 4 1 57869 9201244
127 5 1 843 166530
105 5 1 160846 25252896
125 5 1 9977 1391776
111 5 1 12961 2289664
101 5 1 228214 43360692
125 3 1 25693 3584187
125 5 1 8517 1188037
101 5 1 272573 51788752
101 5 1 280983 53386624
125 5 1 269 37401
125 5 1 13373 1865403
101 5 1 121914 23163624
125 5 1 16517 2304064
125 5 1 21753 3034545
125 5 1 3792 528950
101 5 1 201121 38212868
14 4 1 2803 402224
106 3 1 78887 13391051
101 5 1 264732 50298972
125 4 1 9915 1383120
