mc lep_category run lumi evt
125 3 1 13851 1932111
105 5 1 32184 5117189
101 5 1 244303 46417484
101 5 1 167403 31806600
125 5 1 9371 1307138
107 3 1 122069 19368352
101 5 1 232174 44112948
4 3 1 1331 226839
111 5 1 21524 3343457
4 5 1 1850 315361
5 5 1 5010 886741
3 5 1 1571 167310
108 4 1 219552 85954376
5 5 1 1616 286019
101 5 1 188822 35876168
125 5 1 10541 1470340
125 3 1 18605 2595345
125 5 1 17438 2432549
125 5 1 24630 3435884
101 5 1 142259 27029220
125 5 1 16175 2256306
127 4 1 1131 223581
101 5 1 268747 51061836
101 3 1 338409 64297656
5 5 1 6590 1166396
107 3 1 373470 59257204
107 4 1 68483 10865994
125 3 1 22505 3139338
125 5 1 25281 3526608
4 3 1 621 105775
101 4 1 306474 58229944
3 3 1 6099 649526
108 3 1 290517 113737088
108 5 1 203878 79818224
125 3 1 11087 1574374
101 3 1 97627 18549122
2 5 1 7241 778343
101 3 1 296407 56317152
106 5 1 141926 24091872
125 5 1 11971 1669844
101 5 1 375757 71393648
125 5 1 7709 1075294
101 5 1 209789 39859940
101 5 1 119384 22682888
2 5 1 6845 735770
4 3 1 4254 725269
101 5 1 410335 77963616
101 3 1 278643 52942072
101 5 1 416332 79103104
127 5 1 852 168387
111 5 1 32626 5763938
3 3 1 9733 1036590
4 5 1 4827 823027
5 3 1 2267 401265
125 3 1 7679 1071150
1 5 1 7538 1375543
101 5 1 112805 21432888
101 3 1 332576 63189352
125 5 1 17243 2405310
2 5 1 4127 443745
101 4 1 289714 55045600
101 3 1 238257 45268776
4 5 1 2282 388957
127 5 1 488 96344
101 5 1 353042 67077828
125 3 1 8753 1220946
4 3 1 5335 909562
101 5 1 153892 29239392
127 4 1 906 179047
4 3 1 1660 282947
104 3 1 143399 26528784
3 3 1 2547 271326
1 4 1 863 157329
125 5 1 19531 2724581
4 5 1 5063 863155
102 5 1 250447 35730312
106 5 1 28837 4895026
4 5 1 269 45880
5 5 1 762 134726
101 5 1 284274 54011980
101 3 1 378260 71869264
101 5 1 107344 20395252
111 3 1 16543 2569564
101 5 1 359759 68354104
101 5 1 232000 44079940
101 5 1 226221 42981976
101 5 1 256898 48810476
101 5 1 188076 35734384
2 4 1 13327 1432658
5 5 1 1035 183130
101 5 1 194531 36960772
121 5 1 6947 1312869
102 5 1 169996 24252804
3 5 1 2527 269088
3 5 1 12699 1352464
3 3 1 837 89124
107 5 1 136370 21637328
101 5 1 74190 14096041
101 5 1 159047 30218844
5 4 1 4404 779507
125 5 1 12191 1700644
101 5 1 323557 61475816
107 5 1 237519 37686348
101 5 1 385045 73158400
104 5 1 17331 3206188
1 5 1 4168 760528
101 5 1 273599 51983836
101 5 1 419850 79771496
101 5 1 181504 34485704
101 3 1 126949 24120264
125 4 1 22271 3106730
101 3 1 395312 75109216
5 3 1 5549 982163
125 5 1 13997 1952631
125 3 1 9515 1327398
125 4 1 22204 3097398
101 5 1 171181 32524216
1 3 1 5441 992966
1 5 1 6316 1152639
