mc lep_category run lumi evt
101 5 1 308849 58681236
101 3 1 15674 2978032
101 5 1 251000 47689944
101 5 1 298237 56664928
105 5 1 133970 21033192
106 5 1 60611 10566562
101 3 1 133326 25331802
101 5 1 67174 12762958
104 5 1 82799 15317784
101 4 1 257905 49001804
101 4 1 21271 4041342
127 5 1 247 48666
9 5 1 3385 551638
101 5 1 114271 21711330
6 5 1 5902 792883
101 5 1 222346 42245684
107 5 1 146361 23222540
111 5 1 7549 1172625
125 5 1 16509 2303022
105 3 1 156490 24881776
6 5 1 2663 357706
9 5 1 2456 400375
108 5 1 148455 58119892
102 3 1 199088 28403298
106 5 1 71115 12071691
101 3 1 402787 76529464
101 5 1 254444 48344252
6 5 1 7721 1037126
108 3 1 199293 78022960
101 5 1 63770 12116151
101 5 1 309661 58835532
6 3 1 5297 711677
101 5 1 253459 48157040
102 5 1 1072060 152947232
101 3 1 276884 52607920
107 5 1 180933 28708032
125 5 1 9919 1383754
6 5 1 6613 888339
7 4 1 5802 945708
7 5 1 1370 223255
108 5 1 222661 87171576
101 4 1 308901 58691176
127 5 1 292 57657
125 5 1 12969 1809089
101 5 1 153182 29104416
101 5 1 344186 65395260
101 5 1 233479 44360892
101 5 1 176611 33556076
6 5 1 4258 571981
102 3 1 785273 112032392
9 3 1 8507 1386642
125 5 1 23935 3338829
111 5 1 25897 4575064
9 5 1 3365 548428
125 3 1 22427 3128432
7 5 1 5383 877456
101 5 1 363442 69053904
127 5 1 848 167479
111 3 1 22589 4340694
125 5 1 24823 3462799
105 5 1 120472 19155012
9 3 1 8704 1418720
101 5 1 58837 11178892
111 5 1 32375 5028824
101 5 1 394547 74963944
101 3 1 29255 5558369
101 4 1 382002 72580256
107 5 1 322847 51224984
9 3 1 846 137832
101 5 1 192879 36646976
6 5 1 6332 850712
125 3 1 12832 1789986
102 4 1 487426 69539400
125 5 1 17901 2541931
101 5 1 351064 66702160
101 4 1 56686 10770345
111 5 1 11737 2073406
101 5 1 260891 49569176
101 3 1 256386 48713256
107 5 1 33614 5333345
104 5 1 156697 28988774
7 3 1 7137 1163247
102 5 1 242792 34638376
101 4 1 86261 16389593
125 3 1 16345 2280058
102 3 1 1104147 157524960
101 5 1 27256 5178564
101 4 1 216762 41184728
101 5 1 125678 23878816
101 5 1 85144 16177364
6 3 1 8251 1108412
102 5 1 174539 24900882
101 5 1 244579 46469836
7 3 1 1544 251734
102 4 1 580586 82830288
101 5 1 54982 10446465
125 5 1 23799 3379393
9 4 1 3200 521614
125 3 1 14607 2037550
125 3 1 5929 827026
101 5 1 166628 31659272
102 5 1 355496 50717468
105 3 1 26482 4157758
107 3 1 12461 1977228
9 3 1 7705 1255761
101 5 1 410677 78028624
111 5 1 78919 15165577
9 5 1 2741 446827
125 5 1 16816 2345826
105 3 1 62370 9792100
101 5 1 186257 35388712
121 4 1 703 132761
125 5 1 18485 2578569
101 3 1 198218 37661348
7 5 1 598 97457
101 3 1 394600 74973952
6 4 1 9503 1276607
125 5 1 24441 3409513
108 3 1 240015 93965736
127 5 1 23 4439
7 5 1 8462 1379251
101 3 1 62875 11946167
108 4 1 69837 27340958
101 5 1 135305 25707920
104 3 1 11844 2191068
101 4 1 378709 71954672
101 5 1 106319 20200464
101 5 1 261491 49683264
7 4 1 5147 838920
7 3 1 8475 1381353
101 5 1 44851 8521584
101 4 1 134016 25462956
101 5 1 144403 27436560
101 5 1 356607 67755280
111 4 1 11077 1956792
107 5 1 17726 2812583
102 5 1 448601 64000440
9 5 1 7584 1236148
6 4 1 3958 531611
125 5 1 24538 3422995
107 4 1 265976 42201464
108 5 1 20826 8153338
108 5 1 273193 106955144
9 5 1 4475 729466
105 3 1 64841 10180043
6 5 1 3458 464653
6 3 1 6589 885161
107 5 1 207641 32945626
101 5 1 184842 35119944
125 5 1 19157 2672363
125 5 1 20903 2916018
105 5 1 132904 21131698
125 3 1 26061 3635532
9 5 1 4415 719666
9 3 1 5339 870161
105 5 1 133201 20912584
9 5 1 4141 675015
125 3 1 19064 2707016
102 5 1 589126 84048624
101 5 1 266374 50610984
102 5 1 1106386 157844288
101 5 1 169773 32256812
101 3 1 25980 4936142
105 5 1 42701 6789359
125 5 1 26587 3708803
7 3 1 4060 661710
9 5 1 7879 1284284
101 5 1 74225 14102655
101 4 1 290473 55189856
7 5 1 4560 743233
101 4 1 384136 72985712
121 5 1 7835 1480696
105 5 1 76079 12096549
107 3 1 36054 5720545
101 3 1 101314 19249508
111 3 1 594 104882
101 3 1 225903 42921504
101 5 1 182773 34726728
125 5 1 12916 1801708
105 3 1 11367 1807305
111 3 1 40606 6307317
7 3 1 9159 1492908
6 5 1 8291 1113705
102 4 1 470863 67176368
125 4 1 21993 3067909
6 5 1 7879 1058474
101 5 1 374669 71186992
125 5 1 7699 1073973
6 4 1 1207 162140
7 5 1 6443 1050109
107 5 1 327715 51997292
111 5 1 31159 4839877
102 5 1 1020034 145524736
111 5 1 225799 43391092
106 3 1 44866 7821636
111 4 1 31248 5520401
101 5 1 27862 5293815
107 5 1 92349 14652683
101 5 1 64376 12231280
125 3 1 25630 3575339
111 5 1 38532 6807251
7 5 1 4467 728053
101 5 1 335010 63651864
101 5 1 31457 5976849
101 3 1 303244 57616364
9 5 1 4879 795166
101 3 1 308962 58702624
7 3 1 6346 1034405
125 3 1 1893 263986
101 3 1 186998 35529628
111 5 1 16819 2612549
111 3 1 9856 1741083
101 4 1 132694 25211728
9 5 1 3405 554954
102 4 1 1070876 152778368
101 3 1 278827 52977112
125 3 1 8973 1251618
9 5 1 725 118214
6 5 1 1009 135585
102 4 1 983261 140278512
111 4 1 19160 2976094
9 3 1 7794 1270349
111 5 1 10634 1651721
6 4 1 10619 1426599
6 5 1 3518 472681
101 3 1 29599 5623667
101 3 1 175483 33341722
105 5 1 115429 18353076
101 5 1 58514 11117651
9 5 1 2056 335133
9 5 1 4634 755253
101 5 1 59569 11317963
101 3 1 158571 30128328
125 5 1 8079 1126934
101 3 1 57472 10919709
101 5 1 296219 56281476
6 4 1 4279 574680
101 4 1 287504 54625700
101 3 1 309600 58823968
101 5 1 32951 6260543
108 4 1 135639 53102528
125 4 1 6443 898851
101 5 1 108237 20564992
105 5 1 47639 7479414
121 3 1 10063 1901725
101 5 1 190802 36252304
6 5 1 9058 1216812
6 3 1 7658 1028752
101 3 1 58738 11160120
101 3 1 407480 77421216
102 5 1 420338 59968216
106 3 1 99234 16844852
125 5 1 14177 1977555
9 5 1 4877 794975
108 4 1 242475 94929072
101 5 1 265730 50488696
101 4 1 321670 61117232
111 3 1 31742 4930649
101 5 1 190529 36200512
7 3 1 292 47455
125 5 1 19031 2654747
105 3 1 20786 3263331
111 3 1 44752 8599802
101 3 1 350483 66591704
7 5 1 3665 597431
111 4 1 26386 4661549
101 3 1 33946 6449723
9 5 1 4693 764970
7 3 1 5567 907424
101 3 1 390715 74235768
101 3 1 38394 7294811
107 5 1 24163 3833810
102 5 1 217052 30966032
9 4 1 8733 1423425
101 4 1 251946 47869716
108 3 1 295793 115803096
101 5 1 176478 33530758
101 4 1 150344 28565208
101 5 1 270265 51350312
6 4 1 4123 553753
101 5 1 205301 39007152
9 3 1 922 150197
6 5 1 5737 770544
101 5 1 194517 36958128
101 5 1 394341 74924760
104 5 1 151488 28025162
111 5 1 16870 2980332
108 5 1 343907 134639520
107 3 1 81160 12877304
106 3 1 3641 634660
101 5 1 168757 32063708
125 5 1 10251 1429972
111 5 1 41245 6406688
101 5 1 218405 41496864
6 3 1 9560 1284278
9 3 1 2065 336480
106 5 1 80899 14103313
6 4 1 2183 293228
101 4 1 398777 75767520
101 4 1 1283 243714
101 5 1 403501 76665072
7 4 1 7423 1209947
6 5 1 3689 495630
101 3 1 91872 17455674
7 3 1 583 94995
105 4 1 85380 13575386
7 4 1 2109 343728
107 4 1 192638 30565276
101 5 1 122251 23227508
101 4 1 58400 11095949
101 5 1 135006 25651040
127 5 1 685 135378
102 5 1 1019189 145404368
101 3 1 291116 55311872
105 4 1 100791 16025729
101 4 1 287147 54557928
101 3 1 93788 17819662
7 5 1 5097 830755
9 5 1 1917 312438
6 4 1 1070 143814
111 4 1 35494 6270474
6 5 1 6977 937288
101 5 1 251701 47823040
6 3 1 9080 1219704
101 5 1 75646 14372649
101 4 1 187735 35669624
102 5 1 949273 135429600
101 5 1 143589 27281928
7 3 1 6800 1108297
7 4 1 4453 725694
101 5 1 411697 78222432
105 5 1 23245 3649340
101 3 1 52927 10055945
111 5 1 9173 1620495
6 4 1 7618 1023326
101 5 1 209771 39856492
111 5 1 33929 5270292
7 3 1 3305 538603
7 5 1 9050 1475028
9 5 1 6388 1041228
102 5 1 997967 142376560
101 5 1 204620 38877728
107 3 1 203045 32216496
101 5 1 9496 1804090
105 5 1 1361 213573
101 5 1 16730 3178679
101 5 1 287201 54568164
101 3 1 140291 26655202
101 5 1 138953 26401040
7 5 1 2182 355586
101 5 1 175445 33334476
127 3 1 460 90805
7 5 1 4579 746406
105 5 1 96117 15090309
107 3 1 33880 5375662
125 5 1 12655 1765387
9 3 1 4533 738853
108 5 1 17346 6790861
7 3 1 1909 311119
101 5 1 165865 31514208
7 4 1 6734 1097670
123 4 1 1287 398850
101 3 1 344428 65441172
101 5 1 417679 79358968
107 5 1 131717 20899116
101 5 1 200224 38042472
101 3 1 238443 45304176
7 3 1 202 32827
111 3 1 772 119893
125 5 1 27566 3845396
111 4 1 898 158668
106 5 1 112137 19549112
104 5 1 53886 9968861
125 5 1 369 51491
102 3 1 753962 107565288
102 4 1 702629 100241696
101 3 1 270421 51379912
101 3 1 273046 51878704
6 5 1 1732 232614
9 3 1 5993 976924
111 5 1 25310 3931571
101 3 1 52499 9974743
125 5 1 4979 694579
101 4 1 416908 79212560
102 5 1 1111026 158506368
7 5 1 6347 1034588
125 5 1 15501 2162402
127 5 1 970 191767
101 5 1 122515 23277680
101 5 1 284208 53999448
6 5 1 5309 713190
9 5 1 4680 762812
101 5 1 192368 36549856
9 3 1 7923 1291441
105 4 1 161317 25326808
7 5 1 2588 421777
101 5 1 190653 36223904
7 3 1 5952 970129
7 5 1 7350 1198030
101 3 1 75653 14374047
105 5 1 179369 28160960
111 5 1 16807 2610567
9 3 1 4680 762838
101 3 1 181811 34543976
102 3 1 1014919 144795072
7 5 1 321 52259
6 4 1 2422 325256
7 3 1 3436 559951
7 5 1 4489 731608
