mc run lumi evt
105 1 57489 9025774
7 1 6868 1119357
9 1 4037 657912
9 1 646 105288
6 1 10412 1398674
105 1 79612 12658199
125 1 8437 1176853
101 1 70839 13459432
107 1 235390 37348492
6 1 4369 586899
102 1 1019920 145508608
9 1 3024 492860
9 1 6878 1121185
6 1 520 69812
102 1 289025 41234272
6 1 9962 1338171
104 1 39082 7230107
6 1 8791 1180856
6 1 8161 1096348
9 1 1192 194193
7 1 6269 1021736
107 1 346637 54999776
9 1 5554 905228
102 1 685072 97736848
6 1 7996 1074036
121 1 7082 1338376
106 1 147245 24994742
106 1 49265 8362755
6 1 9494 1275342
7 1 3083 502494
125 1 3111 433881
102 1 304370 43423460
127 1 464 91738
104 1 53918 9974771
7 1 2723 443794
7 1 662 107925
102 1 931805 132937432
125 1 20618 2876191
7 1 32 5207
9 1 5950 969741
9 1 3298 537528
125 1 5107 725081
102 1 279635 39894572
7 1 3437 560210
108 1 168045 65789312
127 1 391 77160
7 1 1680 273808
111 1 39224 6929461
9 1 5321 867284
102 1 545737 77858400
102 1 212259 30282262
105 1 143587 22543208
105 1 110843 17402456
101 1 13164 2501055
127 1 1051 207603
106 1 133738 23314868
6 1 1066 143071
6 1 8947 1201859
125 1 21625 3016657
125 1 11199 1562179
125 1 26715 3726686
102 1 296447 42293112
6 1 1054 141606
127 1 1202 237472
102 1 406725 58026088
111 1 19087 2964805
102 1 721631 102952640
108 1 4113 1609978
101 1 349845 66470424
108 1 221745 86812848
9 1 25 3944
123 1 1969 610272
7 1 1646 268287
6 1 7846 1053892
102 1 659063 94026328
9 1 7197 1173032
125 1 1006 140314
105 1 140873 22398726
6 1 5237 703482
6 1 7186 965368
125 1 23007 3209341
6 1 572 76804
125 1 19942 2781894
7 1 1261 205564
107 1 345310 54789160
9 1 108 17577
102 1 69758 9952249
7 1 986 160685
6 1 3221 432626
102 1 381331 54403192
7 1 8736 1423949
9 1 1887 307498
127 1 911 180090
102 1 543690 77566424
125 1 17818 2485535
105 1 110046 17277304
9 1 7109 1158788
108 1 55283 21643382
9 1 1240 202007
7 1 701 114182
102 1 715498 102077592
121 1 8497 1605816
9 1 6754 1100897
6 1 7076 950577
127 1 276 54552
7 1 4198 684266
7 1 4355 709909
102 1 775589 110650728
101 1 132814 25234676
127 1 56 10905
102 1 706816 100839088
102 1 760783 108538424
7 1 8954 1459508
107 1 239168 37948024
125 1 18177 2535735
6 1 8543 1147624
9 1 3512 572379
9 1 146 23853
6 1 8233 1105942
7 1 7129 1162022
9 1 8653 1410425
6 1 1873 251516
6 1 8909 1196821
9 1 7811 1273098
6 1 7295 979968
6 1 5486 736962
9 1 59 9538
6 1 1186 159332
6 1 6280 843619
111 1 7850 1508332
7 1 6397 1042664
9 1 4006 652878
125 1 16803 2343941
125 1 27996 3905386
9 1 2788 454332
7 1 2709 441479
125 1 17201 2399473
125 1 5069 707057
108 1 54039 21156142
102 1 997358 142289808
108 1 136155 53304392
125 1 14302 1995080
9 1 1325 215934
6 1 4613 619672
125 1 8291 1156562
9 1 5690 927533
125 1 17589 2453695
101 1 146493 27833528
102 1 784712 111952160
102 1 787105 112293696
7 1 1270 206870
125 1 17741 2474864
6 1 3776 507297
104 1 88260 16328084
125 1 11292 1603417
102 1 212830 30363716
6 1 5368 721121
9 1 5684 926555
6 1 6665 895297
7 1 3873 631230
9 1 2175 354463
105 1 179433 28170968
7 1 5785 942945
102 1 479054 68345112
101 1 229408 43587424
102 1 127262 18156044
125 1 3883 541553
6 1 8051 1081613
6 1 10228 1374004
9 1 3508 571698
102 1 773132 110300160
125 1 11473 1600494
105 1 175895 27967264
107 1 275481 43709644
102 1 913087 130267048
127 1 1197 236611
9 1 670 109173
6 1 755 101521
125 1 22729 3170754
102 1 1018132 145253536
9 1 4139 674577
6 1 6892 925723
6 1 8491 1140498
106 1 136164 23113766
125 1 3986 556020
6 1 4763 639884
102 1 654472 93371352
9 1 8416 1371767
6 1 11102 1491488
9 1 516 84039
125 1 7477 1042972
127 1 766 151319
6 1 298 40017
107 1 178880 28382184
9 1 7875 1283580
7 1 6458 1052534
9 1 1864 303793
7 1 1375 224071
102 1 646031 92167104
7 1 5206 848604
9 1 4243 691580
102 1 306541 43733060
7 1 1261 205541
6 1 8720 1171453
9 1 754 122831
7 1 6008 979214
125 1 20029 2794061
7 1 1117 182008
9 1 8798 1434083
105 1 7256 1153636
9 1 2825 460385
6 1 5392 724310
107 1 207943 32993624
6 1 1427 191680
104 1 79610 14727722
7 1 4533 738867
111 1 103 18107
6 1 5808 780206
6 1 9050 1215688
102 1 802555 114497808
7 1 746 121547
6 1 4622 620961
6 1 6176 829766
102 1 138251 19723806
7 1 5956 970864
9 1 1417 230820
9 1 5095 830396
104 1 69090 12781675
127 1 578 114286
9 1 3763 613210
105 1 125785 19748238
6 1 1418 190434
7 1 212 34569
6 1 3772 506767
104 1 23397 4328367
6 1 8854 1189309
6 1 2464 330993
7 1 3559 580035
107 1 285634 45320588
125 1 15627 2179996
102 1 27766 3961311
127 1 1223 241624
6 1 5651 759214
127 1 1014 200321
102 1 308423 44001692
107 1 366352 58127748
107 1 210229 33356366
125 1 10368 1446258
6 1 517 69331
6 1 10211 1371633
6 1 3353 450537
6 1 5308 712930
7 1 6727 1096462
106 1 128443 21803242
102 1 566530 80824952
6 1 9428 1266477
7 1 7931 1292718
7 1 7028 1145635
102 1 284165 40540880
9 1 4745 773392
7 1 4655 758739
7 1 1567 255259
6 1 2762 370987
125 1 27318 3810822
7 1 2150 350362
125 1 17643 2461070
7 1 4568 744617
