mc run lumi evt
101 1 393529 74770376
105 1 16870 2682233
4 1 7291 1243118
104 1 133016 24607872
101 1 246422 46820048
101 1 2777 527652
101 1 184894 35129744
101 1 170445 32384576
121 1 1017 201953
125 1 18806 2623375
101 1 260198 49437564
106 1 132529 23104068
101 1 255355 48517440
101 1 168576 32029412
108 1 270616 105945984
105 1 107417 17079302
127 1 1071 211589
101 1 195525 37149652
101 1 104308 19818400
101 1 207435 39412624
105 1 16000 2544036
3 1 4981 530491
111 1 9644 1497932
3 1 255 27214
125 1 9831 1396059
101 1 98890 18789056
101 1 286259 54389172
3 1 7401 788299
101 1 240834 45758340
101 1 285456 54236536
111 1 13510 2098567
125 1 22506 3139510
101 1 202257 38428672
102 1 196221 27994192
127 1 192 37817
4 1 6668 1136781
5 1 285 50295
101 1 407073 77343760
101 1 151102 28709224
104 1 154063 28501552
102 1 830557 118492816
106 1 144982 24610708
123 1 10241 3174690
125 1 18685 2606549
5 1 7705 1363708
101 1 213894 40639828
125 1 22603 3153102
102 1 1055293 150555104
2 1 7621 819300
1 1 1142 208399
111 1 468 82629
5 1 667 118061
108 1 86216 33753556
101 1 279578 53119656
101 1 352333 66943184
101 1 398667 75746736
101 1 129744 24651300
101 1 166018 31543352
2 1 7562 812909
127 1 448 88477
101 1 65008 12351453
5 1 396 70069
105 1 74696 11876616
107 1 244020 38717804
2 1 13665 1468936
125 1 706 98463
101 1 287367 54599752
106 1 9364 1589534
105 1 62545 9819481
106 1 87658 14879973
101 1 386118 73362392
105 1 134963 21459004
1 1 3652 666429
4 1 6773 1154647
111 1 30703 4769169
107 1 268612 42619692
101 1 339504 64505636
105 1 126589 19874356
101 1 44298 8416585
101 1 355557 67555800
125 1 19797 2761690
101 1 184919 35134504
1 1 5411 987469
5 1 3549 628084
101 1 250653 47624020
111 1 31901 4955233
5 1 1825 322911
111 1 28910 5107423
101 1 257827 48987120
101 1 400969 76184112
127 1 432 85372
101 1 392307 74538160
2 1 9077 975744
101 1 17216 3270996
125 1 9203 1283861
121 1 997 198083
111 1 74348 14287232
101 1 386751 73482528
101 1 329733 62649296
101 1 187826 35686916
101 1 376372 71510560
101 1 388047 73728800
