#Contacts: Martin Flechl, Steve Sekula, Maria Ubiali, Date: Apr 8, 2015
#######################################################################
#IF YOU USE THESE NUMBERS, CITE *AT LEAST* THE REFERENCES GIVEN HERE: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/LHCHXSWGMSSMCharged#Citation_guide
#######################################################################
#A preliminary version of grid of Santander-matched cross sections in tan beta (0.1-60) and mH+ (200-1000 GeV), sqrt(s)=13 TeV, in units of GeV and picobarn.
#Also given are total uncertainties (PDF, alphas, scale, mb). Numbers are for 2HDM type-II (a la MSSM), but without SQCD corrections.
#The uncertainties at very low tan beta might not be accurate, please use with care and only after discussing with the authors.
#The numbers for type-II 2HDM can also be applied to type I/III/IV, if you follow the recipe outline at the end of Section 6 of arXiv:1409.5615
mhp tb xsec unc- unc+
200 0.1 334.066 65.0457 64.1694 
200 0.2 83.6111 16.3025 16.0829 
200 0.3 37.1663 7.25412 7.15645 
200 0.4 20.9043 4.07163 4.01679 
200 0.5 13.3695 2.58671 2.55155 
200 0.6 9.29534 1.82545 1.80107 
200 0.7 6.82196 1.32813 1.31021 
200 0.8 5.21787 1.01786 1.00418 
200 0.9 4.12819 0.80072 0.789869 
200 1 3.34002 0.650036 0.641278 
200 2 0.837431 0.163185 0.160994 
200 3 0.377037 0.073395 0.072411 
200 4 0.220511 0.0430106 0.0424339 
200 5 0.153224 0.0295937 0.0291898 
200 6 0.121784 0.0234903 0.0231654 
200 7 0.108263 0.0209439 0.0206484 
200 8 0.105205 0.0201426 0.0198486 
200 9 0.109583 0.0220834 0.0217644 
200 10 0.116739 0.0223765 0.0220356 
200 11 0.129346 0.024995 0.0246115 
200 12 0.144471 0.027694 0.0272603 
200 13 0.162315 0.0312214 0.0307285 
200 14 0.182796 0.0352033 0.0346453 
200 15 0.205408 0.0395237 0.0388937 
200 16 0.230208 0.0444259 0.0437164 
200 17 0.256807 0.0494666 0.0486736 
200 18 0.285312 0.0551515 0.0542672 
200 19 0.31609 0.0610196 0.0600384 
200 20 0.348034 0.0668836 0.0658013 
200 25 0.537543 0.103231 0.101549 
200 30 0.770708 0.148544 0.146129 
200 35 1.04725 0.201427 0.198142 
200 40 1.36719 0.262756 0.258453 
200 45 1.73148 0.334033 0.328589 
200 50 2.13852 0.412592 0.405867 
200 55 2.5884 0.49764 0.489493 
200 60 3.07771 0.59203 0.582349 
220 0.1 279.589 62.6371 61.519 
220 0.2 69.9307 15.7154 15.4357 
220 0.3 31.0705 6.99264 6.86818 
220 0.4 17.4708 3.91842 3.84854 
220 0.5 11.1952 2.51968 2.47498 
220 0.6 7.76599 1.74378 1.71273 
220 0.7 5.70492 1.28193 1.25913 
220 0.8 4.36994 0.982938 0.965482 
220 0.9 3.45327 0.775035 0.761247 
220 1 2.79404 0.625754 0.614596 
